Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
omn_1_r1 - illumina_universal_adapter	(1, 3.494869269796743e-05)	(2, 5.242303904695115e-05)	(3, 8.237906135949467e-05)	(4, 9.236440213034249e-05)	(5, 0.000122320424442886)	(6, 0.0001422911059845817)	(7, 0.0001722471282971252)	(8, 0.0001897214746461089)	(9, 0.0014803267692781918)	(10, 0.0018135875175052385)	(12, 0.002230475494688136)	(14, 0.0026898011701471363)	(16, 0.0043186598833916895)	(18, 0.006532909199327198)	(20, 0.0076712380472038506)	(22, 0.008064410840055984)	(24, 0.008428875778191932)	(26, 0.0088295375766222)	(28, 0.00921147686110713)	(30, 0.009679539709740621)	(32, 0.010233726122522678)	(34, 0.010933948144078382)	(36, 0.011767724098444177)	(38, 0.01269511262253667)	(40, 0.013739828900686625)	(42, 0.014925588117224806)	(44, 0.016284842629656467)	(46, 0.017757680393356526)	(48, 0.01941275062612455)	(50, 0.021289994691043944)	(52, 0.023238384308955633)	(54, 0.025330313200448252)	(56, 0.027559540527540033)	(58, 0.029969752156103428)	(60, 0.03237996378466683)	(62, 0.03501734191576701)	(64, 0.038124031063097044)	(66, 0.04159643331615938)	(68, 0.04527852772540952)	(70, 0.049403721631366034)	(72, 0.05380600874371357)	(74, 0.05858898697294969)	(76, 0.06397483015122574)	(78, 0.06983123251332798)	(80, 0.07624931029379045)	(82, 0.08328398286685273)	(84, 0.0906968502216109)	(86, 0.09880869143032842)	(88, 0.10727376406881467)	(90, 0.1163379571535518)	(92, 0.12624591153342557)	(94, 0.1373146617779104)	(96, 0.1492009617980084)	(98, 0.16206083254326403)	(100, 0.1765196059794517)	(102, 0.1919507019732007)	(104, 0.20875852682573032)	(106, 0.22740115804490324)	(108, 0.24707103119587712)	(110, 0.2686793086239918)	(112, 0.2918802479050568)	(114, 0.31725050246858844)	(116, 0.34459286183436255)	(118, 0.3735877950977119)	(120, 0.4050203996767445)	(122, 0.4384725394266812)	(124, 0.47567417463607115)	(126, 0.5154645094403034)	(128, 0.55794214907949)	(130, 0.6045736904793495)	(132, 0.6535442979547801)	(134, 0.706324312934289)	(136, 0.7632931783671686)	(138, 0.8233025800647714)
omn_1_r2 - illumina_universal_adapter	(1, 3.2452357505255475e-05)	(2, 4.992670385423919e-05)	(3, 7.489005578135878e-05)	(4, 9.486073732305446e-05)	(5, 0.00011982408925017405)	(6, 0.0001348021004064458)	(7, 0.00015726911714085344)	(8, 0.00017973613387526108)	(9, 0.0014828231044709038)	(10, 0.0018210765230833744)	(12, 0.0022604315170006795)	(14, 0.002747216879579511)	(16, 0.004473432665339831)	(18, 0.006787535388983817)	(20, 0.008031958482550729)	(22, 0.008583648560140072)	(24, 0.009097893609838736)	(26, 0.00970824756445681)	(28, 0.01027366748560607)	(30, 0.010987619350721688)	(32, 0.011811409964316635)	(34, 0.012798710533034215)	(36, 0.013927054040140021)	(38, 0.015160243625339728)	(40, 0.016536972484120373)	(42, 0.01810591915273984)	(44, 0.01983213493850016)	(46, 0.02171437167380498)	(48, 0.023790074386544974)	(50, 0.026089199099032685)	(52, 0.028429513342200147)	(54, 0.030952060054435585)	(56, 0.03361190520227018)	(58, 0.03646896083032901)	(60, 0.039306045776846155)	(62, 0.042407742253790764)	(64, 0.04602618011562675)	(66, 0.050031549932333094)	(68, 0.054171721849445874)	(70, 0.05876872310682495)	(72, 0.06366902909011853)	(74, 0.06902741258127473)	(76, 0.0749998945298381)	(78, 0.0813231115729775)	(80, 0.08825668257073496)	(82, 0.09579686302032145)	(84, 0.10374769060910904)	(86, 0.1123538061859835)	(88, 0.12138929141600445)	(90, 0.13099518923756007)	(92, 0.141555935270328)	(94, 0.15321382062029287)	(96, 0.16569549658385266)	(98, 0.1791569841105519)	(100, 0.1942498266856884)	(102, 0.2102962693044409)	(104, 0.2276345653854218)	(106, 0.24683138301737678)	(108, 0.2670317273968019)	(110, 0.2892366289359748)	(112, 0.3132251619703404)	(114, 0.33928690138225326)	(116, 0.36742559167450245)	(118, 0.3973092202664573)	(120, 0.4296717097047752)	(122, 0.46393391022474684)	(124, 0.5020229925951458)	(126, 0.5425160457561266)	(128, 0.5856864184112909)	(130, 0.632909591251823)	(132, 0.6824481149835955)	(134, 0.7358047833926209)	(136, 0.793466381841478)	(138, 0.8540848893261026)
omn_2_r1 - illumina_universal_adapter	(1, 7.014207485089418e-05)	(2, 8.053349334732295e-05)	(3, 0.00011950131270893083)	(4, 0.00014547985895000277)	(5, 0.00017405625981518186)	(6, 0.00018444767831161065)	(7, 0.00020782836992857536)	(8, 0.0002364047707937545)	(9, 0.0029823371084750565)	(10, 0.003721426749033553)	(12, 0.004587811266173301)	(14, 0.005254160977256795)	(16, 0.00771562823359836)	(18, 0.010866825892640385)	(20, 0.0122995427178355)	(22, 0.012828206133841315)	(24, 0.013381549168776145)	(26, 0.013921902930590441)	(28, 0.014483039529397595)	(30, 0.01514938924048109)	(32, 0.0158936745902878)	(34, 0.01683539689152666)	(36, 0.01795637116182891)	(38, 0.019351419094974474)	(40, 0.020925718997183432)	(42, 0.022700053705448645)	(44, 0.024626362909224125)	(46, 0.026854023249396043)	(48, 0.02925833770400725)	(50, 0.032018558242121145)	(52, 0.034824241236156905)	(54, 0.03788841076529134)	(56, 0.041253931430822205)	(58, 0.04497925496179192)	(60, 0.04906697921282459)	(62, 0.05348203314649476)	(64, 0.058182851088816726)	(66, 0.06343701206607352)	(68, 0.069167879366854)	(70, 0.0756196513258242)	(72, 0.08246499826034664)	(74, 0.09005982625392403)	(76, 0.09830022112159204)	(78, 0.10702901265859222)	(80, 0.1167566792985616)	(82, 0.12755076526172698)	(84, 0.13971521953910887)	(86, 0.1521628399705185)	(88, 0.16524303800289822)	(90, 0.17967282151250163)	(92, 0.19569768776130683)	(94, 0.21281625080686117)	(96, 0.23144546631633384)	(98, 0.25145284370389537)	(100, 0.2737554256518556)	(102, 0.29813239451716544)	(104, 0.3248617207446044)	(106, 0.3530653294712241)	(108, 0.38408111582843985)	(110, 0.41790258517969137)	(112, 0.45446349223206395)	(114, 0.4944626598794424)	(116, 0.5371337210077151)	(118, 0.5834378818278017)	(120, 0.6335985578373753)	(122, 0.6875118348514719)	(124, 0.7464662487636485)	(126, 0.809442141633943)	(128, 0.8768447787837161)	(130, 0.9494613101640724)	(132, 1.0280542061071873)	(134, 1.1115778301268577)	(136, 1.201911730043625)	(138, 1.296915273647225)
omn_2_r2 - illumina_universal_adapter	(1, 4.156567398571507e-05)	(2, 6.234851097857261e-05)	(3, 9.092491184375172e-05)	(4, 0.00011170774883660926)	(5, 0.00013768629507768118)	(6, 0.00015067556819821714)	(7, 0.00018184982368750344)	(8, 0.0001974369514321466)	(9, 0.0029563585622339847)	(10, 0.0037084374759130167)	(12, 0.004593006975421515)	(14, 0.005280139523497868)	(16, 0.007739008925215325)	(18, 0.010916185130498421)	(20, 0.012381375138494879)	(22, 0.012964593501606942)	(24, 0.013612758230321686)	(26, 0.01427131437753286)	(28, 0.014938963015928407)	(30, 0.015742999022089584)	(32, 0.01663795994009451)	(34, 0.017714770681786944)	(36, 0.019035779758145452)	(38, 0.020612677514978514)	(40, 0.022414289696796853)	(42, 0.024388659211118317)	(44, 0.026534487130630863)	(46, 0.029021932933213496)	(48, 0.0317509792158381)	(50, 0.034833333727341285)	(52, 0.037976737822510986)	(54, 0.04140200914439632)	(56, 0.04507667451019594)	(58, 0.049130626651115214)	(60, 0.053662584042870214)	(62, 0.05849329471639754)	(64, 0.06354871981491013)	(66, 0.0692263310958964)	(68, 0.07535986586341348)	(70, 0.08228964307321941)	(72, 0.08952466820135795)	(74, 0.09756113148103354)	(76, 0.10627303696297702)	(78, 0.11542268094908255)	(80, 0.1256296517671997)	(82, 0.13694850436443473)	(84, 0.1496182413662055)	(86, 0.16256205203081958)	(88, 0.17617610918845333)	(90, 0.19113715396868663)	(92, 0.20778940210921376)	(94, 0.22548728673594398)	(96, 0.24481662406661356)	(98, 0.2655604932401095)	(100, 0.28853332168108936)	(102, 0.31362599949534076)	(104, 0.34110220892721044)	(106, 0.3701812946621543)	(108, 0.4018686264397018)	(110, 0.43643178328613597)	(112, 0.473973380459109)	(114, 0.5149883092645133)	(116, 0.5589764826872083)	(118, 0.6065003362533132)	(120, 0.657944352447196)	(122, 0.7130292618967649)	(124, 0.7729435830925491)	(126, 0.8367274087509409)	(128, 0.9049314840522511)	(130, 0.9784143999497471)	(132, 1.0577463855334206)	(134, 1.1418480322069546)	(136, 1.2327326773040328)	(138, 1.328738992792538)
omn_3_r1 - illumina_universal_adapter	(1, 1.968242236558267e-05)	(2, 3.061710145757304e-05)	(3, 5.029952382315571e-05)	(4, 5.9047267096748004e-05)	(5, 8.310356109912683e-05)	(6, 9.40382401911172e-05)	(7, 0.00010934679091990371)	(8, 0.00012246840583029215)	(9, 0.00016402018637985558)	(10, 0.00021103930647541416)	(12, 0.0002504041512065795)	(14, 0.0003061710145757304)	(16, 0.00044941531068080426)	(18, 0.0006123420291514609)	(20, 0.0007282496275265588)	(22, 0.0008430637579924577)	(24, 0.001001616604826318)	(26, 0.001208282039664936)	(28, 0.0014466580438703262)	(30, 0.001740800911444867)	(32, 0.0021563187169405013)	(34, 0.0026265099178960872)	(36, 0.0031502810464024257)	(38, 0.0037188843591859254)	(40, 0.004460255601622873)	(42, 0.005273795726066956)	(44, 0.006182467558611356)	(46, 0.0072835897431747865)	(48, 0.008534517031298485)	(50, 0.009744986006781819)	(52, 0.011065895241094257)	(54, 0.01253770304687616)	(56, 0.014183372250220712)	(58, 0.01597884655712553)	(60, 0.01797551895932297)	(62, 0.02020291309036141)	(64, 0.02245108311167463)	(66, 0.02499776987219919)	(68, 0.027964348309856175)	(70, 0.031090573062256224)	(72, 0.03459732464705753)	(74, 0.03842664926507256)	(76, 0.04267805249603842)	(78, 0.0473548147436827)	(80, 0.052436160117730626)	(82, 0.05792427555400059)	(84, 0.06400833100078404)	(86, 0.07054726909779427)	(88, 0.07774994221568834)	(90, 0.08553762066500388)	(92, 0.09395623009792728)	(94, 0.10339176468640576)	(96, 0.11372066255669987)	(98, 0.12468267834642022)	(100, 0.13714821251128922)	(102, 0.1509280951030155)	(104, 0.16571615510702328)	(106, 0.1819136952459886)	(108, 0.19950650043709195)	(110, 0.21901506140511195)	(112, 0.24018241319138692)	(114, 0.263438288684232)	(116, 0.2888067441776497)	(118, 0.31626591031345597)	(120, 0.3460027701041237)	(122, 0.3788417983531892)	(124, 0.4145325909094458)	(126, 0.4530106331662507)	(128, 0.49464879768064085)	(130, 0.5402529703016958)	(132, 0.5892392391659036)	(134, 0.6419706356191179)	(136, 0.6992191480052334)	(138, 0.7605277067382051)
omn_3_r2 - illumina_universal_adapter	(1, 2.6243229820776893e-05)	(2, 3.2804037275971114e-05)	(3, 4.811258800475763e-05)	(4, 5.248645964155379e-05)	(5, 6.998194618873838e-05)	(6, 8.52904969175249e-05)	(7, 0.00010059904764631142)	(8, 0.00011153372673830178)	(9, 0.00016620712219825366)	(10, 0.00021541317811221033)	(12, 0.0002722735093905603)	(14, 0.00037833989658286687)	(16, 0.0005882857351490819)	(18, 0.0008157270602624817)	(20, 0.000992868861552726)	(22, 0.0012224971224845235)	(24, 0.0015177334579682636)	(26, 0.0019048210978247228)	(28, 0.0023454886652319344)	(30, 0.0028342688206439044)	(32, 0.0034870691624357296)	(34, 0.004230627340691075)	(36, 0.005022298106951178)	(38, 0.005891605094764413)	(40, 0.006922745333139104)	(42, 0.00802933485724853)	(44, 0.009260579723006646)	(46, 0.010721452849696559)	(48, 0.012299327042670768)	(50, 0.013869546960280588)	(52, 0.015506468420351544)	(54, 0.017261484414616002)	(56, 0.019243941733993856)	(58, 0.021402447386752753)	(60, 0.023756683795258283)	(62, 0.02639631532806476)	(64, 0.029068750898147207)	(66, 0.03201674038134781)	(68, 0.035417425578956815)	(70, 0.038960261604761695)	(72, 0.04288034405924024)	(74, 0.04706832615147255)	(76, 0.05168604113202009)	(78, 0.05668537641287809)	(80, 0.0621220988574157)	(82, 0.06797433910744895)	(84, 0.07447172542390962)	(86, 0.08138462954586594)	(88, 0.08900828780880163)	(90, 0.09722788608225078)	(92, 0.10612652792731256)	(94, 0.11597867378919588)	(96, 0.1267351176119868)	(98, 0.138119212014658)	(100, 0.15099479664547663)	(102, 0.16518691663897095)	(104, 0.18043204622902392)	(106, 0.19698933731011575)	(108, 0.21495501505825593)	(110, 0.2348353551154036)	(112, 0.2565450669846413)	(114, 0.2802962834403536)	(116, 0.30633503476211027)	(118, 0.33446559019416466)	(120, 0.36495147550263385)	(122, 0.39832739649511606)	(124, 0.43453977324406057)	(126, 0.4734475483891807)	(128, 0.5154071924688753)	(130, 0.5613875180506949)	(132, 0.6107324443891198)	(134, 0.6638170309770055)	(136, 0.7213378168725116)	(138, 0.7831384361646228)
veg_1_r1 - illumina_universal_adapter	(1, 4.626615234512861e-05)	(2, 6.939922851769292e-05)	(3, 9.542393921182776e-05)	(4, 0.0001214486499059626)	(5, 0.00015036499512166798)	(6, 0.00018795624390208497)	(7, 0.00022554749268250196)	(8, 0.00024578893433349576)	(9, 0.0005580854626631138)	(10, 0.000676642478047506)	(12, 0.0008385740112554561)	(14, 0.0011031585699791601)	(16, 0.0019518533020601132)	(18, 0.0029017552423960353)	(20, 0.0033456211414571125)	(22, 0.003644905314439663)	(24, 0.003971660015377134)	(26, 0.004312872888922457)	(28, 0.00475818460524432)	(30, 0.005278678819127017)	(32, 0.005815077022878352)	(34, 0.0065119609425768514)	(36, 0.007291256446140112)	(38, 0.008137059543699494)	(40, 0.009140456722684471)	(42, 0.010064333952326258)	(44, 0.011161709253262278)	(46, 0.0123863164731474)	(48, 0.013665864748942363)	(50, 0.014972883552692245)	(52, 0.01633484341235197)	(54, 0.017913675861129484)	(56, 0.019440458888518728)	(58, 0.02110893200746493)	(60, 0.023031868964309338)	(62, 0.025141316347795043)	(64, 0.027320162959798444)	(66, 0.029574192069362678)	(68, 0.03179352156466807)	(70, 0.034203698938397115)	(72, 0.03703605495227545)	(74, 0.040053475575534306)	(76, 0.04325596080817368)	(78, 0.046642064832932775)	(80, 0.0503795024520627)	(82, 0.054348270832918266)	(84, 0.058607648483191666)	(86, 0.06315474376836133)	(88, 0.06788401202838995)	(90, 0.07292123936496583)	(92, 0.07828088395069682)	(94, 0.08433885827338711)	(96, 0.09104311291164839)	(98, 0.0979815899461569)	(100, 0.10571382065683652)	(102, 0.11392895433261842)	(104, 0.12306362778625975)	(106, 0.1330412127029389)	(108, 0.144103160565207)	(110, 0.15552222529088905)	(112, 0.16827867098279747)	(114, 0.18229731514337144)	(116, 0.19765912353921491)	(118, 0.21394914661648254)	(120, 0.23160835863971382)	(122, 0.2510849629597522)	(124, 0.27259149471393307)	(126, 0.2957086668966287)	(128, 0.3209237199247238)	(130, 0.34852726306763615)	(132, 0.378396401858199)	(134, 0.4108362037384381)	(136, 0.4459782380790849)	(138, 0.48391359136756873)
veg_1_r2 - illumina_universal_adapter	(1, 4.915778686669915e-05)	(2, 5.783269043141076e-05)	(3, 8.096576660397506e-05)	(4, 0.00010409884277653937)	(5, 0.0001445817260785269)	(6, 0.00017349807129423228)	(7, 0.00020819768555307874)	(8, 0.00023422239624721358)	(9, 0.0005494105590984022)	(10, 0.0006419428637886595)	(12, 0.000832790742212315)	(14, 0.0011696661639752828)	(16, 0.0020819768555307874)	(18, 0.0031215194660353957)	(20, 0.0036738216596553684)	(22, 0.0041003377515870226)	(24, 0.004606373792861867)	(26, 0.0052280752149995325)	(28, 0.005972671104303946)	(30, 0.006806907663777046)	(32, 0.007714880903550195)	(34, 0.008742856975968522)	(36, 0.009876377708424172)	(38, 0.011057610410485738)	(40, 0.012370412483278762)	(42, 0.013739601429242413)	(44, 0.01524325138045909)	(46, 0.016940640844620998)	(48, 0.01864525939508683)	(50, 0.02036289030089973)	(52, 0.022139799714404825)	(54, 0.024132135899766927)	(56, 0.02611145972978196)	(58, 0.028290306341785358)	(60, 0.03065277174590849)	(62, 0.033246567911757265)	(64, 0.03591120912338451)	(66, 0.038659707736137305)	(68, 0.04125639553650765)	(70, 0.04408007664682129)	(72, 0.047351961107978346)	(74, 0.05081035599577671)	(76, 0.05445670712747716)	(78, 0.05835173882803267)	(80, 0.06254750051883153)	(82, 0.06693411008805403)	(84, 0.07166626998260422)	(86, 0.07668759332931145)	(88, 0.08185494421935802)	(90, 0.08744447374955386)	(92, 0.0933491914426009)	(94, 0.09981633205009341)	(96, 0.10696589840467656)	(98, 0.11432366244481279)	(100, 0.12238698530821224)	(102, 0.1309881521926238)	(104, 0.14045247198172417)	(106, 0.15078861957907808)	(108, 0.16220623848749932)	(110, 0.17403736113250518)	(112, 0.1871914065711296)	(114, 0.2017030744176313)	(116, 0.21754778577857709)	(118, 0.23429179547573126)	(120, 0.2523861984944589)	(122, 0.27240209265277016)	(124, 0.2943553819405337)	(126, 0.317959794540114)	(128, 0.3435001564518858)	(130, 0.37153455313851214)	(132, 0.4016639390360164)	(134, 0.4344695326832341)	(136, 0.469819764709434)	(138, 0.5078794582823454)
veg_2_r1 - illumina_universal_adapter	(1, 6.37150540450203e-05)	(2, 8.410387133942679e-05)	(3, 0.00010449268863383328)	(4, 0.00012997871025184138)	(5, 0.00015801333403165033)	(6, 0.00019114516213506087)	(7, 0.00024466580753287794)	(8, 0.00028799204428349174)	(9, 0.0013889881781814423)	(10, 0.0016909975343548387)	(12, 0.0019942811916091353)	(14, 0.0023816687202028583)	(16, 0.0036381295859706586)	(18, 0.005260314861956876)	(20, 0.00608988486562304)	(22, 0.006488741103944867)	(24, 0.006934746482260008)	(26, 0.007383300462736952)	(28, 0.007894295196178014)	(30, 0.00851105691933381)	(32, 0.009191533696534627)	(34, 0.009963760151560273)	(36, 0.010985749618442398)	(38, 0.012043419515589735)	(40, 0.013223422316503511)	(42, 0.014566535655772539)	(44, 0.015987381360976494)	(46, 0.01760574373372001)	(48, 0.01934006750482546)	(50, 0.0213636576212953)	(52, 0.023633187846378925)	(54, 0.026041616889280694)	(56, 0.02851121238406568)	(58, 0.031266251320972355)	(60, 0.03411686283894656)	(62, 0.03733829597146279)	(64, 0.04101720319202226)	(66, 0.04495989073632812)	(68, 0.04912430666871065)	(70, 0.05358181184970026)	(72, 0.05854266595764554)	(74, 0.06418781974603435)	(76, 0.0702942705257091)	(78, 0.07680849765127196)	(80, 0.08400702445727837)	(82, 0.09177516384644722)	(84, 0.1004862860354824)	(86, 0.1096077331725675)	(88, 0.11940583418361073)	(90, 0.12985382874591317)	(92, 0.14092623083785677)	(94, 0.15341947863500438)	(96, 0.16711566665252192)	(98, 0.18165544198559555)	(100, 0.19794228410058365)	(102, 0.21539511170459558)	(104, 0.23423820178786992)	(106, 0.2547914039217125)	(108, 0.27683681262128956)	(110, 0.30106382477136806)	(112, 0.3271908198330691)	(114, 0.3552445581290915)	(116, 0.3856035070804628)	(118, 0.4182612951817784)	(120, 0.4543915537285476)	(122, 0.4929812133614546)	(124, 0.5345004911793516)	(126, 0.5792539451405738)	(128, 0.6273396964283506)	(130, 0.678962907516707)	(132, 0.7344842056115377)	(134, 0.7938946706052764)	(136, 0.8573688817460066)	(138, 0.9253783304336611)
veg_2_r2 - illumina_universal_adapter	(1, 5.8617849721418666e-05)	(2, 7.390946269222354e-05)	(3, 8.410387133942679e-05)	(4, 0.00010449268863383328)	(5, 0.00011978430160463815)	(6, 0.00014781892538444708)	(7, 0.00019114516213506087)	(8, 0.00022937419456207307)	(9, 0.0013431133392690277)	(10, 0.0016336539857143204)	(12, 0.00197771527755743)	(14, 0.0024288178601961736)	(16, 0.003773205500546102)	(18, 0.005506254970570654)	(20, 0.006461980781245958)	(22, 0.007016301751437635)	(24, 0.007638160678917033)	(26, 0.008212870466403115)	(28, 0.008926479071707343)	(30, 0.009752226172130805)	(32, 0.010663351444974597)	(34, 0.011671323599966817)	(36, 0.012969836401404332)	(38, 0.014282366514731748)	(40, 0.015755458564252617)	(42, 0.017429890184555753)	(44, 0.01921136309565452)	(46, 0.021204369986182754)	(48, 0.023292949457778517)	(50, 0.025716670113651093)	(52, 0.028388879480299244)	(54, 0.031221650783140844)	(56, 0.03414489746272638)	(58, 0.0373688791974044)	(60, 0.04074450276070958)	(62, 0.04453809707855008)	(64, 0.04879553698983834)	(66, 0.05336390636486629)	(68, 0.058143809719323716)	(70, 0.06320405931157923)	(72, 0.06873580030376789)	(74, 0.07497350409477538)	(76, 0.08171073390949582)	(78, 0.08891690652198762)	(80, 0.09680992741708473)	(82, 0.105212668744542)	(84, 0.1145902503988881)	(86, 0.12439472291533582)	(88, 0.13488094651006527)	(90, 0.14605656698956182)	(92, 0.15800441392408404)	(94, 0.17134762054219216)	(96, 0.1858300523266253)	(98, 0.20113695691040095)	(100, 0.2182138656955473)	(102, 0.2364669543783647)	(104, 0.25610011113179726)	(106, 0.2774803346671443)	(108, 0.3004215770265943)	(110, 0.3255520686430312)	(112, 0.3527112475802615)	(114, 0.3818940166339617)	(116, 0.41340875666570964)	(118, 0.44724909617010083)	(120, 0.4845032882702242)	(122, 0.5242308987683753)	(124, 0.5670321234736582)	(126, 0.6130713472255089)	(128, 0.662265740453669)	(130, 0.7150842459559099)	(132, 0.7716402765284318)	(134, 0.8321071371182369)	(136, 0.896580400306393)	(138, 0.9655646893209364)
