Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
omn_1_r1	(1, 2.028467058223499)	(2, 0.004852875614632049)	(3, 0.014084323157280875)	(4, 0.12943997241250052)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0006785039053791106)	(30, 0.0005731585602466658)	(35, 0.0020170388357112633)	(40, 0.0024494040910889745)	(45, 0.0020265249094435687)	(50, 0.0003250228420910971)	(55, 0.0011078735585255675)	(60, 0.0015522212228282963)	(65, 0.0013055833057883548)	(70, 0.0017389470952431508)	(75, 0.00010334827697827511)	(80, 0.00038892902302452325)	(85, 0.001957126791086176)	(90, 0.0004902802318486289)	(95, 0.00010983874847932621)	(100, 0.004133931079131004)	(105, 9.88548736313936e-05)	(110, 0.0003744502789067939)	(115, 0.0047655038828871305)	(120, 0.000722439404770841)	(125, 0.004031082069191273)	(130, 0.00033500818286194496)	(135, 0.00011333361774912297)	(140, 0.003098451241194084)	(145, 0.004768000218079843)	(150, 0.0)
omn_1_r2	(1, 1.619387617523404)	(2, 0.07255847871136581)	(3, 0.01103380155178686)	(4, 0.17759927095029965)	(5, 0.0025662325781078943)	(6, 0.0007838492505115553)	(7, 0.0003944209604484896)	(8, 0.0008412649599439303)	(9, 1.2481675963559796e-05)	(10, 0.001921179564311124)	(15, 0.0009750685262732914)	(20, 0.005729089267273947)	(25, 0.005187384530455452)	(30, 0.002852811858231227)	(35, 0.0035782468652333227)	(40, 0.0019121927576173608)	(45, 0.0014164205883447658)	(50, 0.003213781927097376)	(55, 0.0017564214415921344)	(60, 0.002237714866747)	(65, 0.0018702543263798)	(70, 0.0029257048458584166)	(75, 0.004244269094648874)	(80, 0.000545199606088292)	(85, 0.0012032335628871643)	(90, 0.006816992144257818)	(95, 0.0019201810302340392)	(100, 0.002423941472123313)	(105, 0.0018477873096453923)	(110, 0.0015716926373314497)	(115, 0.0015257600697855497)	(120, 0.004443476643027288)	(125, 0.0014069345146124604)	(130, 0.0018977140134996313)	(135, 0.001708491805892065)	(140, 0.002326085132569004)	(145, 0.002189785231046931)	(150, 0.0)
omn_2_r1	(1, 1.624583976313177)	(2, 0.009874445426231436)	(3, 0.0036967471301045346)	(4, 0.0006104958366651901)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 1.610669866946459e-05)	(15, 0.0)	(20, 0.0001189817417841094)	(25, 0.00032681011171268475)	(30, 8.157263519696582e-05)	(35, 0.0006858336207642986)	(40, 9.508147924232323e-05)	(45, 0.0)	(50, 5.195709248214384e-07)	(55, 0.0004889162402569735)	(60, 0.0003766889204955428)	(65, 0.00039123690639054307)	(70, 5.195709248214384e-07)	(75, 0.00020575008622928962)	(80, 1.0910989421250206e-05)	(85, 0.0012677530565643096)	(90, 0.00031330126766732736)	(95, 5.195709248214384e-07)	(100, 6.754422022678699e-05)	(105, 1.558712774464315e-06)	(110, 5.507451803107247e-05)	(115, 0.0007538974119159071)	(120, 0.0010095263069280548)	(125, 6.234851097857261e-05)	(130, 0.0)	(135, 0.00015742999022089584)	(140, 0.00011794259993446652)	(145, 0.0)	(150, 0.0)
omn_2_r2	(1, 1.350647999764946)	(2, 7.793563872321577e-06)	(3, 0.0001272948765812524)	(4, 0.0002545897531625048)	(5, 0.0)	(6, 0.0015587127744643152)	(7, 0.0004624181230910802)	(8, 0.001852270346988428)	(9, 0.0)	(10, 0.0007175274471784064)	(15, 0.0005502256093859033)	(20, 0.00012521659288196665)	(25, 0.0001272948765812524)	(30, 7.741606779839432e-05)	(35, 5.611365988071535e-05)	(40, 3.2732968263750616e-05)	(45, 0.0007019403194337633)	(50, 0.0004509875627450086)	(55, 7.481821317428713e-05)	(60, 0.00022185678489875418)	(65, 0.0002041913734548253)	(70, 0.0009897826117848403)	(75, 0.0001569104192960744)	(80, 2.2861120692143288e-05)	(85, 0.00015483213559678864)	(90, 0.00010027718849053762)	(95, 5.195709248214384e-07)	(100, 0.00028524443772696967)	(105, 0.0002525114694632191)	(110, 0.0005450299001376889)	(115, 0.0002592658914858978)	(120, 0.00031953611876518463)	(125, 8.313134797143015e-06)	(130, 0.00030914470026875587)	(135, 0.00019016295848464646)	(140, 6.7544220226787e-06)	(145, 4.987880878285808e-05)	(150, 0.0)
omn_3_r1	(1, 2.0404679788966815)	(2, 0.005106495135959504)	(3, 0.014641535304175108)	(4, 0.12965248999372983)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0006967577517416265)	(30, 0.0005887231223127616)	(35, 0.0020334129239465296)	(40, 0.002479547830899737)	(45, 0.0021156417107182973)	(50, 0.000335038567378585)	(55, 0.001126709333638688)	(60, 0.0015767807250650114)	(65, 0.0013471524641332137)	(70, 0.0017565468493373332)	(75, 0.00010628508077414641)	(80, 0.00041639257982299335)	(85, 0.00198748727176017)	(90, 0.000492935333466926)	(95, 0.00011678237270245716)	(100, 0.004106628079787904)	(105, 9.010175571800067e-05)	(110, 0.0003866502526927795)	(115, 0.004767957471271482)	(120, 0.0007536180830199765)	(125, 0.003993344804394883)	(130, 0.00037046692763663375)	(135, 0.00012509272881236984)	(140, 0.0030555867254657893)	(145, 0.004799886734220093)	(150, 0.0)
omn_3_r2	(1, 1.6276357305860405)	(2, 0.0733651358998002)	(3, 0.011557955800233822)	(4, 0.17796190222214328)	(5, 0.002696491864084826)	(6, 0.0008004185095336952)	(7, 0.00043301329204281874)	(8, 0.0008616527124488412)	(9, 1.968242236558267e-05)	(10, 0.0019459354912106067)	(15, 0.00102217380151926)	(20, 0.0057459551692591)	(25, 0.005232462639099233)	(30, 0.002870134568065633)	(35, 0.0036202535537761724)	(40, 0.0019433111682285288)	(45, 0.0015076735532036324)	(50, 0.0032887140837070243)	(55, 0.0018011603400326542)	(60, 0.0023129033215378036)	(65, 0.002007607081289432)	(70, 0.0029681092927298664)	(75, 0.00421335054772573)	(80, 0.0005629172796556643)	(85, 0.0012229345096482032)	(90, 0.006912466734792634)	(95, 0.0019384999094280533)	(100, 0.002451992439587921)	(105, 0.0018676431889119555)	(110, 0.0016139586339777789)	(115, 0.0015159839093135453)	(120, 0.004411924320036275)	(125, 0.0014350672840328165)	(130, 0.0019249409073539851)	(135, 0.0016974995822405853)	(140, 0.002292783512008541)	(145, 0.0022092425637457347)	(150, 0.0)
veg_1_r1	(1, 1.8688133735834764)	(2, 0.050995460353739995)	(3, 0.0)	(4, 0.0001242276744305481)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 1.976349365940538e-05)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0003941405306932845)	(25, 0.0003348500497150683)	(30, 0.0003342853784676567)	(35, 0.00029475839114884595)	(40, 0.0002111870465319318)	(45, 0.00032016859728236713)	(50, 0.0007487540740677581)	(55, 7.340726216350569e-06)	(60, 5.646712474115823e-07)	(65, 0.00048618194402137233)	(70, 0.00097066987430051)	(75, 0.0002190924439956939)	(80, 0.0003060518160970776)	(85, 0.0008983919546318275)	(90, 0.0008244200212209102)	(95, 0.0004432669292180921)	(100, 3.3315603597283356e-05)	(105, 0.00027047752751014795)	(110, 0.0001016408245340848)	(115, 0.00015471992179077356)	(120, 0.0001016408245340848)	(125, 0.0007109211004911821)	(130, 0.00041898606557939406)	(135, 7.114857717385937e-05)	(140, 3.218626110246019e-05)	(145, 0.0007809403351702183)	(150, 0.0)
veg_1_r2	(1, 1.7004594645239501)	(2, 0.05199775181789556)	(3, 0.0018492983352729321)	(4, 0.01105908638055584)	(5, 0.009187201195386444)	(6, 0.0009599411205996898)	(7, 0.0019227055974364376)	(8, 0.00033880274844694935)	(9, 0.00048279391653690293)	(10, 0.0069951474129346805)	(15, 0.005043643581880253)	(20, 0.0011711281671316217)	(25, 0.0015618806703404367)	(30, 0.0032954213998939944)	(35, 0.0021417980414321315)	(40, 0.014205999242380588)	(45, 0.0031412661493506323)	(50, 0.009851254582342464)	(55, 0.0032016859728236716)	(60, 0.002053144655588513)	(65, 0.0022756251270686766)	(70, 0.0)	(75, 0.010533942120463068)	(80, 0.0013106019652422824)	(85, 1.016408245340848e-05)	(90, 6.776054968938987e-06)	(95, 0.00445017410085068)	(100, 0.018965613186812814)	(105, 0.0011779042221005608)	(110, 5.646712474115823e-06)	(115, 0.018750473441549002)	(120, 0.0017990425942533013)	(125, 0.007485846726935347)	(130, 0.004173485189619005)	(135, 0.015049053414766079)	(140, 0.005685674790187222)	(145, 0.0015968902876799546)	(150, 0.0)
veg_2_r1	(1, 2.0640975992295063)	(2, 0.004962128409026181)	(3, 0.014756406516826701)	(4, 0.13104147735331234)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0007044336375217443)	(30, 0.0005841396154847461)	(35, 0.0020954606974326272)	(40, 0.0025761270651482606)	(45, 0.0021076939878092713)	(50, 0.00034049324881658846)	(55, 0.0011626723062135302)	(60, 0.0015913471898284267)	(65, 0.0013981631459639252)	(70, 0.001783511792828208)	(75, 0.00011060933382215523)	(80, 0.0004210290771294941)	(85, 0.002025119277766925)	(90, 0.0005122690345219632)	(95, 0.00011927458117227798)	(100, 0.004109875846119989)	(105, 8.920107566302842e-05)	(110, 0.0003889166898908039)	(115, 0.00477353184905292)	(120, 0.0007421529495163963)	(125, 0.004016087286565719)	(130, 0.0003562945822197535)	(135, 0.00012386206506351946)	(140, 0.003073614207131779)	(145, 0.004791881784617886)	(150, 0.0)
veg_2_r2	(1, 1.6452730629699701)	(2, 0.07648355087564236)	(3, 0.011764347578872547)	(4, 0.18030085993659842)	(5, 0.0027142613023178647)	(6, 0.0008308443047470646)	(7, 0.00043835957182973963)	(8, 0.0008971079609538857)	(9, 1.784021513260568e-05)	(10, 0.0019756763958279893)	(15, 0.0010683740262269002)	(20, 0.0058475128000357824)	(25, 0.005366336711887789)	(30, 0.002944654937744658)	(35, 0.0037372702100647104)	(40, 0.0019889291270693533)	(45, 0.0015434334691865716)	(50, 0.003394228359086321)	(55, 0.00188392671800316)	(60, 0.002393137429930962)	(65, 0.0020393914498730097)	(70, 0.0030883960996702232)	(75, 0.004318861223387655)	(80, 0.0005438717013282932)	(85, 0.001246266457120597)	(90, 0.006942392288745411)	(95, 0.0020103373852284803)	(100, 0.0024950815164029947)	(105, 0.0019445834494540193)	(110, 0.0016280470609583582)	(115, 0.001617342931878795)	(120, 0.004461582944448501)	(125, 0.0014384310601203783)	(130, 0.0019481514924805403)	(135, 0.001762103534669081)	(140, 0.0023905888277691613)	(145, 0.0022371629776287527)	(150, 0.0)
veg_3_r1	(1, 2.038073898349006)	(2, 0.005184171153399844)	(3, 0.014775009652990057)	(4, 0.12914362610909455)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.000713158664543862)	(30, 0.0005800812103945288)	(35, 0.002051732617269388)	(40, 0.0025031235423326934)	(45, 0.002081955335794145)	(50, 0.00034414902062061966)	(55, 0.0011513880831528378)	(60, 0.0015998542290040704)	(65, 0.001347348290361746)	(70, 0.0017738785921224288)	(75, 0.00010285473562457611)	(80, 0.0004226305961445853)	(85, 0.002000061517856094)	(90, 0.0005167109941329416)	(95, 0.00012137833730104006)	(100, 0.004124913615427313)	(105, 9.164308197829532e-05)	(110, 0.00036900964392324226)	(115, 0.004778601769325686)	(120, 0.000750693331098802)	(125, 0.00403814516546914)	(130, 0.0003612102326910469)	(135, 0.00011504131567488135)	(140, 0.0031017283544036867)	(145, 0.004795175518194101)	(150, 0.0)
veg_3_r2	(1, 1.6265330900501984)	(2, 0.07365325250803474)	(3, 0.011625997367991187)	(4, 0.17781682683001362)	(5, 0.0027249192992482487)	(6, 0.0008871830276622207)	(7, 0.00042409298575062185)	(8, 0.0009408039798835637)	(9, 1.7061212070427318e-05)	(10, 0.001951315197654873)	(15, 0.0010499957371342984)	(20, 0.0057905753767030325)	(25, 0.0052826387202063105)	(30, 0.002944277740153743)	(35, 0.003687659123222362)	(40, 0.0019693513361293247)	(45, 0.001501386662197604)	(50, 0.0033761701371365607)	(55, 0.0018679589901107853)	(60, 0.0023924693954759223)	(65, 0.002021022435542619)	(70, 0.0030505447181924045)	(75, 0.0042526289743545125)	(80, 0.0005513208814758085)	(85, 0.0012396189227170478)	(90, 0.006969261399168553)	(95, 0.0019917746434218865)	(100, 0.0024724133606059246)	(105, 0.0019249921847462137)	(110, 0.001636413969154986)	(115, 0.0016120408090543755)	(120, 0.004462238151219762)	(125, 0.0014516654155923587)	(130, 0.0019386411544025557)	(135, 0.001785577708970722)	(140, 0.002370533551385373)	(145, 0.0022194199587615877)	(150, 0.0)
