Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
omn_1_r1	(1, 31.149667091339044)	(2, 31.556293182368453)	(3, 35.506511891732266)	(4, 36.07854634946174)	(5, 36.29411011786465)	(6, 39.81473130015279)	(7, 39.94059075983067)	(8, 40.02355553904632)	(9, 40.03548687855702)	(10, 40.003437749203584)	(15, 39.948515226924584)	(20, 39.874364943027906)	(25, 39.70913134050807)	(30, 39.619718763612)	(35, 39.60886967694104)	(40, 39.57788799965629)	(45, 39.5174657026495)	(50, 39.472347991126185)	(55, 39.410428872640935)	(60, 39.36030651214107)	(65, 39.21304943387211)	(70, 39.17882491723556)	(75, 38.91224253930852)	(80, 39.104343153607644)	(85, 39.092502600684085)	(90, 39.02419928627677)	(95, 38.92732304175729)	(100, 38.82517170652635)	(105, 38.74873743029332)	(110, 38.61339570798098)	(115, 38.38823272847516)	(120, 38.25062168672911)	(125, 38.04504588143131)	(130, 37.80624276064877)	(135, 37.59571616455823)	(140, 37.2403581991189)	(145, 36.87787129364557)	(150, 36.62131085569405)
omn_1_r2	(1, 30.246072664945004)	(2, 31.007745598336996)	(3, 34.479150572559675)	(4, 35.31943206340586)	(5, 35.56961493124802)	(6, 38.76298422416819)	(7, 38.933293308382794)	(8, 38.99060477101417)	(9, 39.0503691018208)	(10, 39.05152829309644)	(15, 38.906496144734795)	(20, 38.78322049690057)	(25, 38.73429461411129)	(30, 38.5979710220722)	(35, 38.4894315014241)	(40, 38.37822585362888)	(45, 38.290591555811666)	(50, 38.233489074953084)	(55, 38.123512249188465)	(60, 37.97142117515309)	(65, 37.798451308691845)	(70, 37.66536344012628)	(75, 37.219532018159626)	(80, 37.67981431201956)	(85, 37.46001643620833)	(90, 37.43173220744326)	(95, 37.23080228426725)	(100, 37.02776831160667)	(105, 36.75369641105916)	(110, 36.447615825943444)	(115, 36.140804913881574)	(120, 35.69871870076466)	(125, 35.27830146223307)	(130, 34.746529551641494)	(135, 34.21198262753901)	(140, 33.53201638864127)	(145, 32.77603543758828)	(150, 32.3705894817257)
omn_2_r1	(1, 30.963961010973783)	(2, 31.508152992192414)	(3, 35.314584741749286)	(4, 35.93358051516025)	(5, 36.149747994133406)	(6, 39.56872644313289)	(7, 39.64636710770608)	(8, 39.75536271006376)	(9, 39.76228008804104)	(10, 39.743289859115855)	(15, 39.66822498736832)	(20, 39.57609732858867)	(25, 39.40532179630891)	(30, 39.320765416542415)	(35, 39.21495198388245)	(40, 39.170003416290804)	(45, 39.06109849183527)	(50, 39.01811239695058)	(55, 38.974314650017256)	(60, 38.75665761994212)	(65, 38.679500348019005)	(70, 38.77438371172764)	(75, 38.46979395325796)	(80, 38.81079671479949)	(85, 38.735919782582)	(90, 38.61642578909422)	(95, 38.52997708812876)	(100, 38.41444469994768)	(105, 38.28625364966338)	(110, 38.1697801257486)	(115, 37.795638337855294)	(120, 37.447993984541895)	(125, 37.28180966847655)	(130, 37.19631041154718)	(135, 36.92905595636046)	(140, 36.6392550548001)	(145, 36.37258943860846)	(150, 36.13678634020712)
omn_2_r2	(1, 30.6710168129088)	(2, 30.8878946826331)	(3, 34.32799897064684)	(4, 35.04079289404771)	(5, 35.271631604816015)	(6, 38.363115732489625)	(7, 38.48496794127204)	(8, 38.49073760507594)	(9, 38.6119815214142)	(10, 38.523572510484456)	(15, 38.390390147825144)	(20, 38.308653641843804)	(25, 38.22350694005869)	(30, 38.166452220899394)	(35, 38.07290839821351)	(40, 38.00046389987838)	(45, 37.954329750455166)	(50, 37.986179675437484)	(55, 37.7983618151096)	(60, 37.780844515064075)	(65, 37.85225334614913)	(70, 37.702938951026546)	(75, 37.350897977782225)	(80, 37.79253727381679)	(85, 37.66126583194349)	(90, 37.55183961909214)	(95, 37.35793525596664)	(100, 37.24967931160519)	(105, 36.902930507903825)	(110, 36.532211875417815)	(115, 36.220827560284974)	(120, 35.845068327360934)	(125, 35.49833309557207)	(130, 35.075329597068965)	(135, 34.69725481948247)	(140, 34.28419214581177)	(145, 33.849933897314834)	(150, 33.55696454964212)
omn_3_r1	(1, 30.839398834055917)	(2, 31.489617859500353)	(3, 35.22318584284583)	(4, 35.826871935507995)	(5, 36.12436120434625)	(6, 39.49402625077391)	(7, 39.653949729922374)	(8, 39.713093777435404)	(9, 39.66851074931892)	(10, 39.69406445326225)	(15, 39.60717215637114)	(20, 39.50098705452943)	(25, 39.34226393015457)	(30, 39.20228960936546)	(35, 39.160211960958556)	(40, 39.06971865664946)	(45, 38.95195056551451)	(50, 38.886851787251814)	(55, 38.845305176711335)	(60, 38.7382713485243)	(65, 38.626351621237816)	(70, 38.64438707030187)	(75, 38.36407393508365)	(80, 38.71659576358976)	(85, 38.63433501016478)	(90, 38.54747150093076)	(95, 38.44012530726556)	(100, 38.311216863576746)	(105, 38.13347560419356)	(110, 38.02635372664239)	(115, 37.82446884638806)	(120, 37.49959116612591)	(125, 37.29600130648889)	(130, 37.34326095043808)	(135, 37.03199345369195)	(140, 36.831082765341826)	(145, 36.451266073658175)	(150, 36.42788969002274)
omn_3_r2	(1, 30.70412902167514)	(2, 30.904316035400075)	(3, 34.27276250780377)	(4, 35.09626408891346)	(5, 35.39055293588451)	(6, 38.43767124355928)	(7, 38.661819778765434)	(8, 38.67556137159917)	(9, 38.78732814408872)	(10, 38.77769843741994)	(15, 38.56199943909332)	(20, 38.461962118598784)	(25, 38.319584098277595)	(30, 38.3072095337685)	(35, 38.16506262686259)	(40, 38.1091609385997)	(45, 38.15585356140434)	(50, 38.051803184608055)	(55, 37.859739132096884)	(60, 37.80444049998651)	(65, 37.97167003820223)	(70, 37.91803330486209)	(75, 37.404946076424686)	(80, 37.83848762840737)	(85, 37.697012842166075)	(90, 37.575916396091564)	(95, 37.487674793519695)	(100, 37.22395737274788)	(105, 37.00060264748676)	(110, 36.70018349868217)	(115, 36.387570907064415)	(120, 35.986923833989316)	(125, 35.683006273562455)	(130, 35.33808731443827)	(135, 34.951781755521)	(140, 34.44505946513464)	(145, 34.01422478059628)	(150, 33.81144767323994)
veg_1_r1	(1, 30.949341393275695)	(2, 31.487113327049876)	(3, 35.27315420287639)	(4, 35.90228782986776)	(5, 36.12333870274762)	(6, 39.51589842194598)	(7, 39.59465465604363)	(8, 39.70554862025875)	(9, 39.71477243390216)	(10, 39.68576535706762)	(15, 39.607445768207754)	(20, 39.50692094375204)	(25, 39.32425053721674)	(30, 39.213491832527765)	(35, 39.11635081830472)	(40, 39.076087857021605)	(45, 38.96584419448009)	(50, 38.918815324399624)	(55, 38.87465509654642)	(60, 38.65302770620919)	(65, 38.56762052195489)	(70, 38.66458670691603)	(75, 38.356248860789)	(80, 38.712953534979775)	(85, 38.640382570374655)	(90, 38.52239176649954)	(95, 38.434098124826846)	(100, 38.317755267036716)	(105, 38.18747295666884)	(110, 38.0667268456398)	(115, 37.68129436708638)	(120, 37.32727343093302)	(125, 37.15245952369378)	(130, 37.05905116015062)	(135, 36.78174815732179)	(140, 36.477559985859855)	(145, 36.20266097033639)	(150, 35.961596086321556)
veg_1_r2	(1, 30.689460325880813)	(2, 30.937109732232518)	(3, 34.28299959741192)	(4, 35.129504199958056)	(5, 35.28942429904601)	(6, 38.39203803804465)	(7, 38.6046452906398)	(8, 38.617611615932546)	(9, 38.751438532634886)	(10, 38.6123065150519)	(15, 38.432257943327116)	(20, 38.30971924397765)	(25, 38.20521016623788)	(30, 38.130548965581475)	(35, 38.012545676598904)	(40, 37.92785480021389)	(45, 37.87852172300147)	(50, 37.90836374139781)	(55, 37.7102015567683)	(60, 37.68757468449381)	(65, 37.75011462039752)	(70, 37.59421589009959)	(75, 37.24125338144883)	(80, 37.685649297169945)	(85, 37.54724102566039)	(90, 37.43528862764977)	(95, 37.229462374218755)	(100, 37.110461698833596)	(105, 36.74839107144908)	(110, 36.36035752464495)	(115, 36.02853531093912)	(120, 35.63198457988541)	(125, 35.25233436112072)	(130, 34.799280709297584)	(135, 34.39784852147601)	(140, 33.95750265756902)	(145, 33.48899752107059)	(150, 33.17541355738563)
veg_2_r1	(1, 30.88410571560519)	(2, 31.475250445109168)	(3, 35.25977440988396)	(4, 35.915431558894404)	(5, 36.11549187143034)	(6, 39.424236378837826)	(7, 39.62540087776451)	(8, 39.708905478239984)	(9, 39.757462857548774)	(10, 39.65210595412233)	(15, 39.62000502049206)	(20, 39.50138583593889)	(25, 39.33468041117892)	(30, 39.183657420278514)	(35, 39.1274564420364)	(40, 39.07644301949027)	(45, 39.01021152613161)	(50, 38.966223816653056)	(55, 38.86042339219533)	(60, 38.72146788323581)	(65, 38.69016022236077)	(70, 38.75556425212018)	(75, 38.382116918061605)	(80, 38.70656934294204)	(85, 38.707305775889495)	(90, 38.62816671658832)	(95, 38.63886319932734)	(100, 38.553724332974326)	(105, 38.53815980247122)	(110, 38.45083831799229)	(115, 38.25645498995605)	(120, 38.08427584540532)	(125, 37.90949432871021)	(130, 37.9373582855158)	(135, 37.75310679155801)	(140, 37.57137634014486)	(145, 37.422437855741116)	(150, 37.234457900813894)
veg_2_r2	(1, 30.55086610828774)	(2, 30.98451273346368)	(3, 34.32715391941559)	(4, 35.0835177855491)	(5, 35.42609951161866)	(6, 38.47291527539906)	(7, 38.640567439265865)	(8, 38.6862326571461)	(9, 38.73344575184974)	(10, 38.714211383382725)	(15, 38.51849017975998)	(20, 38.275747378393746)	(25, 38.199677584011155)	(30, 38.13398833880467)	(35, 37.99958762058801)	(40, 37.925144378673735)	(45, 37.84147017354239)	(50, 37.81528246027488)	(55, 37.612343182677435)	(60, 37.68011456276136)	(65, 37.73151435596181)	(70, 37.66161769447045)	(75, 37.283642018870246)	(80, 37.74125220197082)	(85, 37.63279174678764)	(90, 37.51912731526858)	(95, 37.37003740297642)	(100, 37.25980629686931)	(105, 37.062498502562434)	(110, 36.86399123923853)	(115, 36.529420458982294)	(120, 36.37356695966234)	(125, 36.12771616257665)	(130, 35.78570686633743)	(135, 35.38900478923095)	(140, 34.92028923929438)	(145, 34.518570684939725)	(150, 34.36844437504008)
