Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
omn_1_r1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 3.0)	(4.0, 6.5)	(5.0, 12.5)	(6.0, 20.5)	(7.0, 38.0)	(8.0, 69.0)	(9.0, 120.5)	(10.0, 216.5)	(11.0, 352.5)	(12.0, 539.5)	(13.0, 790.5)	(14.0, 1272.0)	(15.0, 2140.5)	(16.0, 3284.5)	(17.0, 4711.5)	(18.0, 6967.5)	(19.0, 10339.0)	(20.0, 14985.0)	(21.0, 21203.5)	(22.0, 29012.5)	(23.0, 38897.5)	(24.0, 51886.5)	(25.0, 68231.5)	(26.0, 86311.0)	(27.0, 105703.0)	(28.0, 128603.5)	(29.0, 154190.5)	(30.0, 180937.0)	(31.0, 208045.5)	(32.0, 235148.0)	(33.0, 265088.5)	(34.0, 297881.5)	(35.0, 331814.0)	(36.0, 367806.0)	(37.0, 406736.0)	(38.0, 446694.0)	(39.0, 489729.5)	(40.0, 539065.0)	(41.0, 588995.0)	(42.0, 641335.5)	(43.0, 700944.5)	(44.0, 767997.5)	(45.0, 840507.5)	(46.0, 918012.0)	(47.0, 998506.0)	(48.0, 1075631.5)	(49.0, 1146341.0)	(50.0, 1206895.5)	(51.0, 1252672.5)	(52.0, 1280423.5)	(53.0, 1290622.5)	(54.0, 1278705.0)	(55.0, 1247622.0)	(56.0, 1208502.0)	(57.0, 1160952.0)	(58.0, 1105344.0)	(59.0, 1042921.5)	(60.0, 972935.0)	(61.0, 899640.5)	(62.0, 822982.5)	(63.0, 742877.5)	(64.0, 661571.5)	(65.0, 581028.0)	(66.0, 501968.5)	(67.0, 424166.0)	(68.0, 350719.5)	(69.0, 283601.0)	(70.0, 222589.0)	(71.0, 169695.5)	(72.0, 126295.5)	(73.0, 91244.0)	(74.0, 63744.0)	(75.0, 43030.0)	(76.0, 28151.0)	(77.0, 17841.0)	(78.0, 11092.5)	(79.0, 6763.5)	(80.0, 3851.0)	(81.0, 2069.5)	(82.0, 1116.0)	(83.0, 603.5)	(84.0, 341.0)	(85.0, 218.5)	(86.0, 122.5)	(87.0, 31.0)	(88.0, 16.5)	(89.0, 10.5)	(90.0, 6.5)	(91.0, 6.5)	(92.0, 7.0)	(93.0, 7.5)	(94.0, 4.5)	(95.0, 4.5)	(96.0, 7.5)	(97.0, 4.5)	(98.0, 1.5)	(99.0, 2.0)	(100.0, 1.5)
omn_1_r2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 1.5)	(3.0, 3.0)	(4.0, 3.0)	(5.0, 12.0)	(6.0, 27.5)	(7.0, 46.0)	(8.0, 70.5)	(9.0, 123.5)	(10.0, 219.0)	(11.0, 353.5)	(12.0, 545.5)	(13.0, 832.0)	(14.0, 1314.5)	(15.0, 2161.5)	(16.0, 3313.0)	(17.0, 4843.0)	(18.0, 7154.5)	(19.0, 10503.5)	(20.0, 15287.5)	(21.0, 21399.0)	(22.0, 29314.0)	(23.0, 39515.5)	(24.0, 52860.0)	(25.0, 69325.0)	(26.0, 87534.0)	(27.0, 107225.0)	(28.0, 130284.0)	(29.0, 155715.0)	(30.0, 182461.0)	(31.0, 210046.0)	(32.0, 237529.0)	(33.0, 267889.5)	(34.0, 300854.0)	(35.0, 333618.0)	(36.0, 369565.0)	(37.0, 408884.0)	(38.0, 448537.5)	(39.0, 492618.0)	(40.0, 541190.5)	(41.0, 591788.5)	(42.0, 645127.5)	(43.0, 703832.5)	(44.0, 769664.0)	(45.0, 841789.5)	(46.0, 916906.5)	(47.0, 993941.0)	(48.0, 1070093.0)	(49.0, 1137718.5)	(50.0, 1196513.5)	(51.0, 1243521.0)	(52.0, 1272367.0)	(53.0, 1281256.0)	(54.0, 1269608.0)	(55.0, 1241098.0)	(56.0, 1201702.0)	(57.0, 1153935.0)	(58.0, 1099424.0)	(59.0, 1038763.0)	(60.0, 973040.0)	(61.0, 899460.5)	(62.0, 820148.5)	(63.0, 740590.0)	(64.0, 661563.0)	(65.0, 583156.5)	(66.0, 504901.5)	(67.0, 428506.5)	(68.0, 355139.5)	(69.0, 287591.5)	(70.0, 227245.5)	(71.0, 174517.0)	(72.0, 130157.5)	(73.0, 94654.5)	(74.0, 67032.5)	(75.0, 45882.5)	(76.0, 30447.0)	(77.0, 19742.5)	(78.0, 12570.0)	(79.0, 7919.0)	(80.0, 4916.5)	(81.0, 3058.0)	(82.0, 1931.5)	(83.0, 1257.0)	(84.0, 868.5)	(85.0, 646.0)	(86.0, 540.0)	(87.0, 425.0)	(88.0, 357.5)	(89.0, 319.5)	(90.0, 279.5)	(91.0, 247.5)	(92.0, 223.0)	(93.0, 186.0)	(94.0, 153.0)	(95.0, 105.0)	(96.0, 67.5)	(97.0, 46.0)	(98.0, 19.0)	(99.0, 10.0)	(100.0, 5.0)
omn_2_r1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 1.0)	(6.0, 2.0)	(7.0, 5.0)	(8.0, 11.5)	(9.0, 21.0)	(10.0, 38.5)	(11.0, 75.5)	(12.0, 126.5)	(13.0, 209.0)	(14.0, 329.5)	(15.0, 516.5)	(16.0, 868.0)	(17.0, 1385.5)	(18.0, 2197.5)	(19.0, 3538.5)	(20.0, 5568.5)	(21.0, 8455.5)	(22.0, 12408.0)	(23.0, 17813.0)	(24.0, 24808.0)	(25.0, 33262.5)	(26.0, 43320.0)	(27.0, 55320.5)	(28.0, 69134.0)	(29.0, 84687.0)	(30.0, 102095.0)	(31.0, 121461.0)	(32.0, 142263.5)	(33.0, 165025.5)	(34.0, 190009.0)	(35.0, 217736.0)	(36.0, 249544.0)	(37.0, 284911.0)	(38.0, 323890.5)	(39.0, 368265.5)	(40.0, 416146.5)	(41.0, 468939.5)	(42.0, 530139.5)	(43.0, 594966.5)	(44.0, 662162.0)	(45.0, 732565.0)	(46.0, 805955.0)	(47.0, 879424.0)	(48.0, 949278.5)	(49.0, 1009571.5)	(50.0, 1059658.5)	(51.0, 1097893.0)	(52.0, 1120575.5)	(53.0, 1128086.0)	(54.0, 1120985.0)	(55.0, 1103462.5)	(56.0, 1076031.0)	(57.0, 1041455.0)	(58.0, 1001074.0)	(59.0, 954284.5)	(60.0, 904835.0)	(61.0, 851225.5)	(62.0, 791609.5)	(63.0, 728964.5)	(64.0, 661593.5)	(65.0, 589343.0)	(66.0, 515357.5)	(67.0, 441272.5)	(68.0, 368988.5)	(69.0, 301080.0)	(70.0, 239527.0)	(71.0, 185238.5)	(72.0, 138908.5)	(73.0, 101558.0)	(74.0, 72061.5)	(75.0, 49416.0)	(76.0, 32847.0)	(77.0, 20932.5)	(78.0, 12754.0)	(79.0, 7511.0)	(80.0, 4301.0)	(81.0, 2342.0)	(82.0, 1242.5)	(83.0, 634.0)	(84.0, 312.5)	(85.0, 145.0)	(86.0, 58.0)	(87.0, 24.0)	(88.0, 16.5)	(89.0, 9.0)	(90.0, 2.5)	(91.0, 5.5)	(92.0, 6.5)	(93.0, 3.5)	(94.0, 3.0)	(95.0, 3.5)	(96.0, 2.0)	(97.0, 1.5)	(98.0, 1.0)	(99.0, 0.5)	(100.0, 0.5)
omn_2_r2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.5)	(5.0, 3.0)	(6.0, 4.5)	(7.0, 4.5)	(8.0, 11.0)	(9.0, 28.5)	(10.0, 53.0)	(11.0, 83.5)	(12.0, 127.0)	(13.0, 201.0)	(14.0, 327.0)	(15.0, 518.5)	(16.0, 839.0)	(17.0, 1360.0)	(18.0, 2174.5)	(19.0, 3464.0)	(20.0, 5340.5)	(21.0, 8180.5)	(22.0, 12185.5)	(23.0, 17440.5)	(24.0, 24256.0)	(25.0, 32619.5)	(26.0, 42524.0)	(27.0, 54499.5)	(28.0, 68461.5)	(29.0, 83742.0)	(30.0, 100596.0)	(31.0, 119951.5)	(32.0, 141222.0)	(33.0, 164326.0)	(34.0, 189915.0)	(35.0, 217093.0)	(36.0, 248550.5)	(37.0, 284484.5)	(38.0, 323366.0)	(39.0, 367463.0)	(40.0, 416654.0)	(41.0, 469569.0)	(42.0, 528027.0)	(43.0, 592225.0)	(44.0, 660205.5)	(45.0, 731291.0)	(46.0, 804074.5)	(47.0, 876427.0)	(48.0, 945421.5)	(49.0, 1006667.0)	(50.0, 1057378.5)	(51.0, 1094174.0)	(52.0, 1116513.0)	(53.0, 1124672.0)	(54.0, 1118395.0)	(55.0, 1100837.5)	(56.0, 1074447.5)	(57.0, 1039853.5)	(58.0, 998851.5)	(59.0, 954101.5)	(60.0, 904619.0)	(61.0, 851054.0)	(62.0, 792291.5)	(63.0, 729876.0)	(64.0, 663521.5)	(65.0, 592237.5)	(66.0, 518723.5)	(67.0, 445458.0)	(68.0, 374262.5)	(69.0, 306302.5)	(70.0, 244009.5)	(71.0, 189271.5)	(72.0, 143196.0)	(73.0, 105269.0)	(74.0, 75397.5)	(75.0, 52187.5)	(76.0, 34740.0)	(77.0, 22468.0)	(78.0, 14043.0)	(79.0, 8482.5)	(80.0, 5055.0)	(81.0, 2987.5)	(82.0, 1675.0)	(83.0, 969.0)	(84.0, 632.0)	(85.0, 405.0)	(86.0, 289.5)	(87.0, 222.0)	(88.0, 186.5)	(89.0, 174.0)	(90.0, 166.0)	(91.0, 159.5)	(92.0, 130.5)	(93.0, 109.0)	(94.0, 97.5)	(95.0, 74.0)	(96.0, 61.0)	(97.0, 47.0)	(98.0, 23.0)	(99.0, 12.5)	(100.0, 6.0)
omn_3_r1	(0.0, 1.0)	(1.0, 0.5)	(2.0, 0.0)	(3.0, 1.0)	(4.0, 2.0)	(5.0, 2.0)	(6.0, 3.5)	(7.0, 5.5)	(8.0, 8.5)	(9.0, 15.5)	(10.0, 26.5)	(11.0, 42.5)	(12.0, 79.5)	(13.0, 143.5)	(14.0, 251.5)	(15.0, 472.0)	(16.0, 929.5)	(17.0, 1661.0)	(18.0, 2697.0)	(19.0, 4278.5)	(20.0, 6670.5)	(21.0, 10212.0)	(22.0, 15504.0)	(23.0, 22883.5)	(24.0, 31967.0)	(25.0, 42569.0)	(26.0, 55626.5)	(27.0, 70694.0)	(28.0, 88079.0)	(29.0, 107233.5)	(30.0, 127069.5)	(31.0, 148940.0)	(32.0, 172772.5)	(33.0, 197896.0)	(34.0, 224607.5)	(35.0, 254008.0)	(36.0, 286640.5)	(37.0, 322458.0)	(38.0, 360992.5)	(39.0, 402250.5)	(40.0, 448679.5)	(41.0, 499141.5)	(42.0, 554327.0)	(43.0, 616591.5)	(44.0, 678814.0)	(45.0, 737864.5)	(46.0, 799562.0)	(47.0, 862176.0)	(48.0, 921099.5)	(49.0, 971906.5)	(50.0, 1010955.0)	(51.0, 1042916.5)	(52.0, 1063267.5)	(53.0, 1068971.5)	(54.0, 1066017.0)	(55.0, 1055786.0)	(56.0, 1039454.5)	(57.0, 1020396.0)	(58.0, 998721.5)	(59.0, 973490.0)	(60.0, 946490.5)	(61.0, 913116.0)	(62.0, 871565.0)	(63.0, 822685.0)	(64.0, 765082.5)	(65.0, 698899.0)	(66.0, 625667.5)	(67.0, 547242.5)	(68.0, 466325.0)	(69.0, 387207.0)	(70.0, 312511.0)	(71.0, 244164.5)	(72.0, 184864.5)	(73.0, 135012.0)	(74.0, 94985.0)	(75.0, 64812.5)	(76.0, 42162.0)	(77.0, 26583.5)	(78.0, 16313.0)	(79.0, 9706.0)	(80.0, 5763.0)	(81.0, 3257.0)	(82.0, 1707.5)	(83.0, 879.0)	(84.0, 437.0)	(85.0, 188.5)	(86.0, 90.0)	(87.0, 37.5)	(88.0, 14.5)	(89.0, 14.0)	(90.0, 12.5)	(91.0, 11.5)	(92.0, 8.5)	(93.0, 3.5)	(94.0, 5.0)	(95.0, 8.5)	(96.0, 8.0)	(97.0, 4.0)	(98.0, 1.0)	(99.0, 0.5)	(100.0, 0.5)
omn_3_r2	(0.0, 0.0)	(1.0, 1.0)	(2.0, 1.5)	(3.0, 0.5)	(4.0, 0.5)	(5.0, 1.0)	(6.0, 2.5)	(7.0, 5.5)	(8.0, 11.5)	(9.0, 16.0)	(10.0, 27.5)	(11.0, 47.5)	(12.0, 85.5)	(13.0, 157.0)	(14.0, 255.0)	(15.0, 484.0)	(16.0, 927.0)	(17.0, 1614.5)	(18.0, 2615.0)	(19.0, 4048.5)	(20.0, 6347.0)	(21.0, 9994.5)	(22.0, 15086.0)	(23.0, 21893.5)	(24.0, 30814.5)	(25.0, 41212.0)	(26.0, 53841.0)	(27.0, 68873.5)	(28.0, 86387.5)	(29.0, 105709.5)	(30.0, 125611.5)	(31.0, 147717.5)	(32.0, 171424.0)	(33.0, 196144.0)	(34.0, 223413.0)	(35.0, 252952.0)	(36.0, 285625.0)	(37.0, 320332.5)	(38.0, 357872.0)	(39.0, 399958.0)	(40.0, 446715.0)	(41.0, 497731.5)	(42.0, 552767.5)	(43.0, 613501.0)	(44.0, 675692.0)	(45.0, 737075.0)	(46.0, 799480.0)	(47.0, 859595.0)	(48.0, 917241.0)	(49.0, 967436.5)	(50.0, 1005954.0)	(51.0, 1037302.0)	(52.0, 1058504.0)	(53.0, 1065880.5)	(54.0, 1062983.5)	(55.0, 1053908.0)	(56.0, 1038530.5)	(57.0, 1018627.5)	(58.0, 997184.5)	(59.0, 972059.5)	(60.0, 943759.0)	(61.0, 912210.0)	(62.0, 871854.5)	(63.0, 821543.0)	(64.0, 764309.0)	(65.0, 700185.0)	(66.0, 628219.5)	(67.0, 551983.5)	(68.0, 472932.5)	(69.0, 393983.5)	(70.0, 320046.0)	(71.0, 252238.5)	(72.0, 192103.5)	(73.0, 141608.0)	(74.0, 100933.0)	(75.0, 69496.5)	(76.0, 46513.0)	(77.0, 30358.0)	(78.0, 19255.5)	(79.0, 12144.5)	(80.0, 7552.0)	(81.0, 4588.0)	(82.0, 2770.5)	(83.0, 1695.0)	(84.0, 1131.0)	(85.0, 826.0)	(86.0, 642.0)	(87.0, 509.0)	(88.0, 449.0)	(89.0, 419.5)	(90.0, 376.5)	(91.0, 333.0)	(92.0, 276.5)	(93.0, 228.0)	(94.0, 200.0)	(95.0, 144.5)	(96.0, 79.5)	(97.0, 53.0)	(98.0, 31.0)	(99.0, 12.5)	(100.0, 6.0)
veg_1_r1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 1.5)	(6.0, 2.0)	(7.0, 4.0)	(8.0, 5.0)	(9.0, 3.5)	(10.0, 11.0)	(11.0, 21.0)	(12.0, 42.0)	(13.0, 111.5)	(14.0, 268.5)	(15.0, 514.0)	(16.0, 981.5)	(17.0, 1823.0)	(18.0, 3313.5)	(19.0, 6220.0)	(20.0, 10762.0)	(21.0, 16607.5)	(22.0, 24933.0)	(23.0, 37020.5)	(24.0, 53321.0)	(25.0, 72726.0)	(26.0, 94886.5)	(27.0, 119364.5)	(28.0, 145376.5)	(29.0, 172618.5)	(30.0, 200166.5)	(31.0, 227939.5)	(32.0, 258311.0)	(33.0, 291312.5)	(34.0, 323413.5)	(35.0, 354815.5)	(36.0, 391422.0)	(37.0, 433152.0)	(38.0, 476648.5)	(39.0, 527374.0)	(40.0, 592592.0)	(41.0, 670602.0)	(42.0, 755524.5)	(43.0, 848101.0)	(44.0, 946461.0)	(45.0, 1049215.5)	(46.0, 1152824.0)	(47.0, 1253821.0)	(48.0, 1338055.0)	(49.0, 1388541.0)	(50.0, 1406027.0)	(51.0, 1393575.0)	(52.0, 1347222.0)	(53.0, 1266609.5)	(54.0, 1164286.5)	(55.0, 1046436.5)	(56.0, 920571.5)	(57.0, 799262.0)	(58.0, 686579.0)	(59.0, 585553.0)	(60.0, 499697.0)	(61.0, 427089.5)	(62.0, 365090.0)	(63.0, 311980.0)	(64.0, 265414.0)	(65.0, 224346.0)	(66.0, 187100.0)	(67.0, 153873.5)	(68.0, 124966.0)	(69.0, 98756.5)	(70.0, 75729.5)	(71.0, 56678.0)	(72.0, 41007.0)	(73.0, 28569.0)	(74.0, 19539.0)	(75.0, 13265.0)	(76.0, 8732.5)	(77.0, 5311.0)	(78.0, 3099.5)	(79.0, 1823.5)	(80.0, 1038.5)	(81.0, 589.5)	(82.0, 316.5)	(83.0, 168.0)	(84.0, 103.0)	(85.0, 59.0)	(86.0, 20.5)	(87.0, 12.5)	(88.0, 12.0)	(89.0, 8.0)	(90.0, 6.5)	(91.0, 7.0)	(92.0, 7.0)	(93.0, 4.5)	(94.0, 3.0)	(95.0, 4.0)	(96.0, 4.5)	(97.0, 2.5)	(98.0, 0.5)	(99.0, 2.0)	(100.0, 2.0)
veg_1_r2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.5)	(4.0, 1.0)	(5.0, 1.0)	(6.0, 2.0)	(7.0, 4.5)	(8.0, 6.0)	(9.0, 6.0)	(10.0, 6.0)	(11.0, 19.5)	(12.0, 63.0)	(13.0, 123.5)	(14.0, 270.5)	(15.0, 508.5)	(16.0, 939.5)	(17.0, 1755.5)	(18.0, 3176.5)	(19.0, 5896.0)	(20.0, 10285.0)	(21.0, 16024.0)	(22.0, 24248.5)	(23.0, 35908.5)	(24.0, 51653.0)	(25.0, 70721.0)	(26.0, 92108.0)	(27.0, 116094.0)	(28.0, 142866.5)	(29.0, 169446.5)	(30.0, 196566.5)	(31.0, 225941.0)	(32.0, 256722.0)	(33.0, 289075.0)	(34.0, 321093.5)	(35.0, 353551.5)	(36.0, 390803.0)	(37.0, 432092.5)	(38.0, 475992.0)	(39.0, 528027.5)	(40.0, 592887.0)	(41.0, 668384.0)	(42.0, 751466.0)	(43.0, 842502.5)	(44.0, 940554.0)	(45.0, 1042824.5)	(46.0, 1146338.5)	(47.0, 1246292.5)	(48.0, 1328672.0)	(49.0, 1379374.5)	(50.0, 1397917.5)	(51.0, 1386506.0)	(52.0, 1339800.5)	(53.0, 1261744.5)	(54.0, 1163724.0)	(55.0, 1049250.0)	(56.0, 926842.0)	(57.0, 807917.5)	(58.0, 696196.5)	(59.0, 594408.5)	(60.0, 507318.0)	(61.0, 434600.0)	(62.0, 371413.0)	(63.0, 318021.0)	(64.0, 271187.0)	(65.0, 228940.5)	(66.0, 192106.5)	(67.0, 158731.5)	(68.0, 129040.0)	(69.0, 102481.0)	(70.0, 79392.5)	(71.0, 60075.5)	(72.0, 43923.0)	(73.0, 31294.5)	(74.0, 21774.5)	(75.0, 14874.0)	(76.0, 9984.0)	(77.0, 6488.0)	(78.0, 4165.0)	(79.0, 2674.5)	(80.0, 1750.0)	(81.0, 1144.5)	(82.0, 830.0)	(83.0, 655.0)	(84.0, 534.0)	(85.0, 437.5)	(86.0, 371.0)	(87.0, 329.0)	(88.0, 302.5)	(89.0, 267.0)	(90.0, 234.5)	(91.0, 220.5)	(92.0, 202.5)	(93.0, 156.5)	(94.0, 105.0)	(95.0, 76.0)	(96.0, 50.0)	(97.0, 23.5)	(98.0, 9.0)	(99.0, 3.0)	(100.0, 2.5)
veg_2_r1	(0.0, 0.0)	(1.0, 0.5)	(2.0, 0.5)	(3.0, 1.0)	(4.0, 3.5)	(5.0, 4.0)	(6.0, 6.5)	(7.0, 11.5)	(8.0, 17.5)	(9.0, 41.5)	(10.0, 84.0)	(11.0, 154.5)	(12.0, 312.5)	(13.0, 734.5)	(14.0, 1610.5)	(15.0, 3108.5)	(16.0, 5342.0)	(17.0, 7928.5)	(18.0, 11149.5)	(19.0, 14947.0)	(20.0, 19946.0)	(21.0, 26977.5)	(22.0, 36125.0)	(23.0, 48822.5)	(24.0, 64278.0)	(25.0, 82704.5)	(26.0, 106035.5)	(27.0, 133023.0)	(28.0, 164412.5)	(29.0, 199994.5)	(30.0, 240230.0)	(31.0, 287755.0)	(32.0, 336259.0)	(33.0, 387004.5)	(34.0, 438915.0)	(35.0, 490616.5)	(36.0, 546293.5)	(37.0, 601134.0)	(38.0, 650852.5)	(39.0, 693415.5)	(40.0, 731372.5)	(41.0, 765103.5)	(42.0, 792261.5)	(43.0, 808577.5)	(44.0, 817460.5)	(45.0, 823997.5)	(46.0, 825119.0)	(47.0, 818879.5)	(48.0, 809595.0)	(49.0, 803043.5)	(50.0, 796873.0)	(51.0, 792499.5)	(52.0, 793293.0)	(53.0, 794394.5)	(54.0, 792592.0)	(55.0, 795817.0)	(56.0, 806451.5)	(57.0, 819229.5)	(58.0, 830557.5)	(59.0, 838123.0)	(60.0, 843748.5)	(61.0, 843174.5)	(62.0, 831495.5)	(63.0, 809034.0)	(64.0, 777282.5)	(65.0, 732660.0)	(66.0, 673678.0)	(67.0, 606303.0)	(68.0, 533044.5)	(69.0, 455433.5)	(70.0, 377412.5)	(71.0, 304605.0)	(72.0, 239786.5)	(73.0, 182035.0)	(74.0, 132977.5)	(75.0, 93920.0)	(76.0, 64472.5)	(77.0, 43300.0)	(78.0, 27897.5)	(79.0, 17248.5)	(80.0, 10354.5)	(81.0, 6040.5)	(82.0, 3384.0)	(83.0, 1789.0)	(84.0, 900.5)	(85.0, 428.5)	(86.0, 196.5)	(87.0, 95.0)	(88.0, 40.0)	(89.0, 21.5)	(90.0, 18.5)	(91.0, 10.5)	(92.0, 9.0)	(93.0, 10.5)	(94.0, 6.5)	(95.0, 4.0)	(96.0, 8.5)	(97.0, 7.0)	(98.0, 3.0)	(99.0, 2.0)	(100.0, 0.5)
veg_2_r2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 1.5)	(3.0, 2.0)	(4.0, 2.5)	(5.0, 4.0)	(6.0, 6.0)	(7.0, 10.0)	(8.0, 17.5)	(9.0, 44.5)	(10.0, 92.0)	(11.0, 170.5)	(12.0, 300.5)	(13.0, 664.0)	(14.0, 1600.5)	(15.0, 3010.0)	(16.0, 5048.0)	(17.0, 7531.5)	(18.0, 10575.5)	(19.0, 14475.5)	(20.0, 19600.5)	(21.0, 26291.0)	(22.0, 35252.0)	(23.0, 47913.5)	(24.0, 63149.5)	(25.0, 81295.0)	(26.0, 104295.5)	(27.0, 131160.5)	(28.0, 162773.0)	(29.0, 198280.0)	(30.0, 238356.0)	(31.0, 285662.5)	(32.0, 334156.0)	(33.0, 384394.0)	(34.0, 436801.5)	(35.0, 489866.0)	(36.0, 546338.0)	(37.0, 600396.0)	(38.0, 649425.0)	(39.0, 692111.5)	(40.0, 729748.5)	(41.0, 764408.0)	(42.0, 792153.0)	(43.0, 809162.0)	(44.0, 819137.0)	(45.0, 825644.0)	(46.0, 825916.5)	(47.0, 819382.0)	(48.0, 810624.5)	(49.0, 804535.5)	(50.0, 799149.5)	(51.0, 794552.0)	(52.0, 793898.0)	(53.0, 793761.0)	(54.0, 791843.5)	(55.0, 795285.0)	(56.0, 805205.0)	(57.0, 816472.0)	(58.0, 826988.0)	(59.0, 834825.0)	(60.0, 839829.5)	(61.0, 838847.0)	(62.0, 827432.5)	(63.0, 806330.0)	(64.0, 774290.0)	(65.0, 729290.5)	(66.0, 672832.0)	(67.0, 606839.5)	(68.0, 534220.0)	(69.0, 458549.5)	(70.0, 381897.0)	(71.0, 308821.0)	(72.0, 243576.0)	(73.0, 186609.0)	(74.0, 138353.5)	(75.0, 99013.0)	(76.0, 68640.0)	(77.0, 46229.5)	(78.0, 30249.0)	(79.0, 19465.0)	(80.0, 12061.5)	(81.0, 7359.0)	(82.0, 4522.5)	(83.0, 2726.5)	(84.0, 1688.0)	(85.0, 1103.0)	(86.0, 774.0)	(87.0, 582.5)	(88.0, 471.0)	(89.0, 398.0)	(90.0, 344.5)	(91.0, 311.0)	(92.0, 265.0)	(93.0, 209.5)	(94.0, 162.5)	(95.0, 115.0)	(96.0, 75.5)	(97.0, 46.0)	(98.0, 23.5)	(99.0, 12.5)	(100.0, 4.0)
