Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
omn_1_r1	(14.0, 5.0)	(15.0, 44.0)	(16.0, 230.0)	(17.0, 694.0)	(18.0, 1688.0)	(19.0, 3741.0)	(20.0, 8693.0)	(21.0, 18590.0)	(22.0, 35877.0)	(23.0, 64145.0)	(24.0, 105592.0)	(25.0, 161303.0)	(26.0, 232065.0)	(27.0, 314921.0)	(28.0, 410016.0)	(29.0, 514136.0)	(30.0, 624520.0)	(31.0, 747634.0)	(32.0, 878623.0)	(33.0, 1030135.0)	(34.0, 1208049.0)	(35.0, 1436446.0)	(36.0, 1765892.0)	(37.0, 2280552.0)	(38.0, 3237028.0)	(39.0, 5911520.0)	(40.0, 19066584.0)				
omn_1_r2	(11.0, 8.0)	(12.0, 50.0)	(13.0, 404.0)	(14.0, 1377.0)	(15.0, 5076.0)	(16.0, 19794.0)	(17.0, 49590.0)	(18.0, 86343.0)	(19.0, 125821.0)	(20.0, 166814.0)	(21.0, 211232.0)	(22.0, 257859.0)	(23.0, 308253.0)	(24.0, 364055.0)	(25.0, 420160.0)	(26.0, 484729.0)	(27.0, 553602.0)	(28.0, 628253.0)	(29.0, 712821.0)	(30.0, 809566.0)	(31.0, 923634.0)	(32.0, 1058108.0)	(33.0, 1228452.0)	(34.0, 1443867.0)	(35.0, 1737955.0)	(36.0, 2162386.0)	(37.0, 2829616.0)	(38.0, 4028156.0)	(39.0, 6928750.0)	(40.0, 12511992.0)	
omn_2_r1	(13.0, 1.0)	(14.0, 11.0)	(15.0, 120.0)	(16.0, 551.0)	(17.0, 1380.0)	(18.0, 2708.0)	(19.0, 4839.0)	(20.0, 8794.0)	(21.0, 16836.0)	(22.0, 31451.0)	(23.0, 54949.0)	(24.0, 91525.0)	(25.0, 140029.0)	(26.0, 203945.0)	(27.0, 280337.0)	(28.0, 367991.0)	(29.0, 462792.0)	(30.0, 566996.0)	(31.0, 681760.0)	(32.0, 805869.0)	(33.0, 943796.0)	(34.0, 1110955.0)	(35.0, 1333728.0)	(36.0, 1651878.0)	(37.0, 2158316.0)	(38.0, 3093682.0)	(39.0, 5727220.0)	(40.0, 18750842.0)			
omn_2_r2	(11.0, 1.0)	(12.0, 29.0)	(13.0, 421.0)	(14.0, 1340.0)	(15.0, 4021.0)	(16.0, 13620.0)	(17.0, 33465.0)	(18.0, 58239.0)	(19.0, 86205.0)	(20.0, 116603.0)	(21.0, 150638.0)	(22.0, 187575.0)	(23.0, 228171.0)	(24.0, 273801.0)	(25.0, 321860.0)	(26.0, 375290.0)	(27.0, 434842.0)	(28.0, 501673.0)	(29.0, 577186.0)	(30.0, 667418.0)	(31.0, 770783.0)	(32.0, 897186.0)	(33.0, 1058806.0)	(34.0, 1262585.0)	(35.0, 1546821.0)	(36.0, 1959113.0)	(37.0, 2604180.0)	(38.0, 3794526.0)	(39.0, 6843742.0)	(40.0, 13723161.0)	
omn_3_r1	(14.0, 6.0)	(15.0, 37.0)	(16.0, 109.0)	(17.0, 434.0)	(18.0, 1243.0)	(19.0, 3539.0)	(20.0, 9079.0)	(21.0, 20047.0)	(22.0, 39545.0)	(23.0, 71710.0)	(24.0, 118749.0)	(25.0, 182003.0)	(26.0, 260981.0)	(27.0, 355941.0)	(28.0, 461938.0)	(29.0, 578948.0)	(30.0, 705863.0)	(31.0, 842069.0)	(32.0, 990582.0)	(33.0, 1160755.0)	(34.0, 1362760.0)	(35.0, 1626137.0)	(36.0, 1993207.0)	(37.0, 2573055.0)	(38.0, 3657240.0)	(39.0, 6682168.0)	(40.0, 22027934.0)				
omn_3_r2	(10.0, 1.0)	(11.0, 4.0)	(12.0, 59.0)	(13.0, 390.0)	(14.0, 1353.0)	(15.0, 4718.0)	(16.0, 16806.0)	(17.0, 42684.0)	(18.0, 76945.0)	(19.0, 115632.0)	(20.0, 157436.0)	(21.0, 204140.0)	(22.0, 253130.0)	(23.0, 307226.0)	(24.0, 364583.0)	(25.0, 426516.0)	(26.0, 496626.0)	(27.0, 571561.0)	(28.0, 655400.0)	(29.0, 749977.0)	(30.0, 857834.0)	(31.0, 984511.0)	(32.0, 1134961.0)	(33.0, 1320898.0)	(34.0, 1564128.0)	(35.0, 1892206.0)	(36.0, 2370158.0)	(37.0, 3118228.0)	(38.0, 4497314.0)	(39.0, 7923312.0)	(40.0, 15617342.0)
veg_1_r1	(14.0, 2.0)	(15.0, 9.0)	(16.0, 46.0)	(17.0, 158.0)	(18.0, 448.0)	(19.0, 1349.0)	(20.0, 3732.0)	(21.0, 8744.0)	(22.0, 18246.0)	(23.0, 34485.0)	(24.0, 58803.0)	(25.0, 95155.0)	(26.0, 144515.0)	(27.0, 204338.0)	(28.0, 277191.0)	(29.0, 360662.0)	(30.0, 455123.0)	(31.0, 556429.0)	(32.0, 671328.0)	(33.0, 804487.0)	(34.0, 958994.0)	(35.0, 1163660.0)	(36.0, 1452185.0)	(37.0, 1902898.0)	(38.0, 2722763.0)	(39.0, 4967456.0)	(40.0, 17719311.0)				
veg_1_r2	(12.0, 13.0)	(13.0, 190.0)	(14.0, 679.0)	(15.0, 2262.0)	(16.0, 9200.0)	(17.0, 28015.0)	(18.0, 54912.0)	(19.0, 84242.0)	(20.0, 114475.0)	(21.0, 146956.0)	(22.0, 183071.0)	(23.0, 221070.0)	(24.0, 263626.0)	(25.0, 309548.0)	(26.0, 359998.0)	(27.0, 415545.0)	(28.0, 478602.0)	(29.0, 549739.0)	(30.0, 631226.0)	(31.0, 727002.0)	(32.0, 845696.0)	(33.0, 992929.0)	(34.0, 1182943.0)	(35.0, 1441354.0)	(36.0, 1815725.0)	(37.0, 2401648.0)	(38.0, 3467863.0)	(39.0, 6093387.0)	(40.0, 11760601.0)		
veg_2_r1	(14.0, 2.0)	(15.0, 99.0)	(16.0, 461.0)	(17.0, 1177.0)	(18.0, 2294.0)	(19.0, 4349.0)	(20.0, 8602.0)	(21.0, 17366.0)	(22.0, 32875.0)	(23.0, 58408.0)	(24.0, 96791.0)	(25.0, 148308.0)	(26.0, 213386.0)	(27.0, 292780.0)	(28.0, 383147.0)	(29.0, 483475.0)	(30.0, 591112.0)	(31.0, 707310.0)	(32.0, 836849.0)	(33.0, 979460.0)	(34.0, 1152903.0)	(35.0, 1377339.0)	(36.0, 1692763.0)	(37.0, 2188004.0)	(38.0, 3119197.0)	(39.0, 5702828.0)	(40.0, 19145910.0)				
veg_2_r2	(11.0, 7.0)	(12.0, 71.0)	(13.0, 492.0)	(14.0, 1741.0)	(15.0, 5658.0)	(16.0, 20846.0)	(17.0, 50593.0)	(18.0, 86578.0)	(19.0, 121733.0)	(20.0, 159258.0)	(21.0, 198032.0)	(22.0, 240587.0)	(23.0, 286080.0)	(24.0, 334972.0)	(25.0, 387487.0)	(26.0, 444916.0)	(27.0, 507351.0)	(28.0, 578885.0)	(29.0, 656732.0)	(30.0, 747021.0)	(31.0, 849658.0)	(32.0, 979223.0)	(33.0, 1136342.0)	(34.0, 1343170.0)	(35.0, 1622097.0)	(36.0, 2027826.0)	(37.0, 2665797.0)	(38.0, 3836356.0)	(39.0, 6688063.0)	(40.0, 13259623.0)	
veg_3_r1	(14.0, 11.0)	(15.0, 142.0)	(16.0, 674.0)	(17.0, 1774.0)	(18.0, 3660.0)	(19.0, 6576.0)	(20.0, 12112.0)	(21.0, 22405.0)	(22.0, 40077.0)	(23.0, 68899.0)	(24.0, 109196.0)	(25.0, 166801.0)	(26.0, 238282.0)	(27.0, 320589.0)	(28.0, 417545.0)	(29.0, 524674.0)	(30.0, 640297.0)	(31.0, 762282.0)	(32.0, 896678.0)	(33.0, 1049657.0)	(34.0, 1230721.0)	(35.0, 1463889.0)	(36.0, 1794688.0)	(37.0, 2314137.0)	(38.0, 3284430.0)	(39.0, 5963609.0)	(40.0, 19694933.0)				
veg_3_r2	(11.0, 9.0)	(12.0, 47.0)	(13.0, 395.0)	(14.0, 1466.0)	(15.0, 5031.0)	(16.0, 19655.0)	(17.0, 47719.0)	(18.0, 82271.0)	(19.0, 117107.0)	(20.0, 155247.0)	(21.0, 196959.0)	(22.0, 242184.0)	(23.0, 290296.0)	(24.0, 343339.0)	(25.0, 398774.0)	(26.0, 459572.0)	(27.0, 525041.0)	(28.0, 601598.0)	(29.0, 686821.0)	(30.0, 784382.0)	(31.0, 897073.0)	(32.0, 1033064.0)	(33.0, 1203206.0)	(34.0, 1421892.0)	(35.0, 1717656.0)	(36.0, 2150215.0)	(37.0, 2823410.0)	(38.0, 4051576.0)	(39.0, 7060795.0)	(40.0, 13711938.0)	
