Sample	Unique Reads	Duplicate Reads
omn_1_r1	33214800.0	6843923.0
omn_1_r2	35101307.0	4957416.0
omn_2_r1	24321852.0	14171449.0
omn_2_r2	28208947.0	10284354.0
omn_3_r1	40606997.0	5119082.0
omn_3_r2	42080468.0	3645611.0
omn_4_r1	28747327.0	7988705.0
omn_4_r2	29331278.0	7404754.0
omn_5_r1	22715528.0	8566626.0
omn_5_r2	23373725.0	7908429.0
veg_1_r1	24964759.0	5303573.0
veg_1_r2	26644724.0	3623608.0
veg_2_r1	29602790.0	12560447.0
veg_2_r2	34467920.0	7695317.0
veg_3_r1	31175397.0	3407120.0
veg_3_r2	32211569.0	2370948.0
veg_4_r1	25762535.0	13474660.0
veg_4_r2	29126748.0	10110447.0
veg_5_r1	31396786.0	9631952.0
veg_5_r2	33902422.0	7126316.0
