Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
omn_1_r1	(1.0, 57.364858004237675)	(2.0, 19.241050325682814)	(3.0, 9.159746699517129)	(4.0, 4.861963384196476)	(5.0, 2.9985988380836393)	(6.0, 1.8271600620301316)	(7.0, 1.1023006686600414)	(8.0, 0.7466272235940468)	(9.0, 0.5060674334905835)	('>10', 2.1598232498240404)	('>50', 0.019831999707575987)	('>100', 0.00349001372713189)	('>500', 0.0)	('>1k', 0.008482097248748597)	('>5k', 0.0)	('>10k+', 0.0)
omn_1_r2	(1.0, 60.14176121574445)	(2.0, 18.9022958153805)	(3.0, 8.593152170274623)	(4.0, 4.449709530253691)	(5.0, 2.535873883456975)	(6.0, 1.517384191841076)	(7.0, 0.9279863165525317)	(8.0, 0.6426608478323532)	(9.0, 0.4494467234566689)	('>10', 1.817957580601575)	('>50', 0.008782529297310791)	('>100', 0.0042811361663459)	('>500', 0.0)	('>1k', 0.008708059141885657)	('>5k', 0.0)	('>10k+', 0.0)
omn_2_r1	(1.0, 86.69620985223668)	(2.0, 10.825699232261142)	(3.0, 1.6747535473728794)	(4.0, 0.40113547573538255)	(5.0, 0.15813970062874266)	(6.0, 0.09688020601491874)	(7.0, 0.054598362574601204)	(8.0, 0.029376859840623652)	(9.0, 0.019283327013922966)	('>10', 0.03784372915590566)	('>50', 0.001115850339362086)	('>100', 0.004963856825866256)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
omn_2_r2	(1.0, 90.85051654839926)	(2.0, 7.480162279861196)	(3.0, 1.139983873123578)	(4.0, 0.27145465676328306)	(5.0, 0.10475614730391546)	(6.0, 0.0555035810490032)	(7.0, 0.04751905546806864)	(8.0, 0.011142271689801794)	(9.0, 0.015222392833185302)	('>10', 0.016382078758031337)	('>50', 0.002271771376704453)	('>100', 0.005085343373979636)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
omn_3_r1	(1.0, 78.31500773559577)	(2.0, 13.641872586788658)	(3.0, 4.2383652649794845)	(4.0, 1.5535816978117722)	(5.0, 0.6499144765077393)	(6.0, 0.3084072366355625)	(7.0, 0.1645772151904336)	(8.0, 0.12845893820394041)	(9.0, 0.09322372816401164)	('>10', 0.8482978414374167)	('>50', 0.02554063860149109)	('>100', 0.00809804913258613)	('>500', 0.004686100206728384)	('>1k', 0.019968490744389625)	('>5k', 0.0)	('>10k+', 0.0)
omn_3_r2	(1.0, 85.61594543018607)	(2.0, 9.269132370240756)	(3.0, 2.789702790797092)	(4.0, 0.9151482261664363)	(5.0, 0.3663078648676005)	(6.0, 0.18650390218682908)	(7.0, 0.12018050679403844)	(8.0, 0.09105420244680443)	(9.0, 0.06283753363684279)	('>10', 0.5434693769370191)	('>50', 0.005535685809100813)	('>100', 0.009235075678515389)	('>500', 0.004690685939870619)	('>1k', 0.020256348312993968)	('>5k', 0.0)	('>10k+', 0.0)
veg_1_r1	(1.0, 54.47751081638509)	(2.0, 12.421222152570325)	(3.0, 9.271418886591174)	(4.0, 7.408035569034116)	(5.0, 5.246455612408296)	(6.0, 3.644307338008991)	(7.0, 2.3960669404620827)	(8.0, 1.4895822969827002)	(9.0, 0.9874713796501313)	('>10', 2.6416568467326127)	('>50', 0.0054729981711632925)	('>100', 0.005544750173686506)	('>500', 0.005254412829621215)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
veg_1_r2	(1.0, 69.12364240136714)	(2.0, 9.16773136703827)	(3.0, 6.645239921525975)	(4.0, 5.003596469305068)	(5.0, 3.4212615011259597)	(6.0, 2.3044865223980464)	(7.0, 1.4086299399104503)	(8.0, 0.8602682884096012)	(9.0, 0.5377634055744887)	('>10', 1.5137202685769693)	('>50', 0.0010922870188372511)	('>100', 0.007119275242996357)	('>500', 0.005448352506191038)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
veg_2_r1	(1.0, 72.73357144298451)	(2.0, 14.037740236336644)	(3.0, 4.427883370165354)	(4.0, 1.9890232352303912)	(5.0, 1.1333538589412206)	(6.0, 0.7880559533515028)	(7.0, 0.5524771150821015)	(8.0, 0.4978731147688303)	(9.0, 0.3844084729232758)	('>10', 3.3481719920181305)	('>50', 0.07953394314026817)	('>100', 0.004639624910500762)	('>500', 0.0060819720474099455)	('>1k', 0.017185668099876265)	('>5k', 0.0)	('>10k+', 0.0)
veg_2_r2	(1.0, 81.40183638886772)	(2.0, 9.553475497738804)	(3.0, 2.9938124690564973)	(4.0, 1.26859242140566)	(5.0, 0.7811360559398555)	(6.0, 0.5901107105090019)	(7.0, 0.40045727841432255)	(8.0, 0.3637454564939306)	(9.0, 0.27630370190759473)	('>10', 2.3021201192499774)	('>50', 0.04311103543705833)	('>100', 0.004040340256032558)	('>500', 0.005190405102868269)	('>1k', 0.016068119620718878)	('>5k', 0.0)	('>10k+', 0.0)
