Sample	0	1	2
omn_1_r1	(149, 126.0)	(150, 40058597.0)	
omn_1_r2	(149, 107.0)	(150, 40058616.0)	
omn_2_r1	(150, 38493301.0)		
omn_2_r2	(150, 38493301.0)		
omn_3_r1	(149, 151.0)	(150, 45725928.0)	
omn_3_r2	(149, 107.0)	(150, 45725972.0)	
omn_4_r1	(149, 1714.0)	(150, 36734318.0)	
omn_4_r2	(148, 29.0)	(149, 2885.0)	(150, 36733118.0)
omn_5_r1	(149, 1289.0)	(150, 31280865.0)	
omn_5_r2	(148, 19.0)	(149, 2251.0)	(150, 31279884.0)
veg_1_r1	(149, 247.0)	(150, 30268085.0)	
veg_1_r2	(150, 30268332.0)		
veg_2_r1	(149, 327.0)	(150, 42162910.0)	
veg_2_r2	(150, 42163237.0)		
veg_3_r1	(149, 8.0)	(150, 34582509.0)	
veg_3_r2	(150, 34582517.0)		
veg_4_r1	(149, 136.0)	(150, 39237059.0)	
veg_4_r2	(149, 103.0)	(150, 39237092.0)	
veg_5_r1	(149, 142.0)	(150, 41028596.0)	
veg_5_r2	(149, 93.0)	(150, 41028645.0)	
