Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
omn_1_r1	17.08472695553337	53.0	149.99999685461765	150	0.0	40.058723
omn_1_r2	12.375374162415767	53.0	149.99999732892135	150	0.0	40.058723
omn_2_r1	36.81536437281684	48.0	150.0	150	0.0	38.493300999999995
omn_2_r2	26.7172587150378	48.0	150.0	150	0.0	38.493300999999995
omn_3_r1	11.19510414042621	51.0	149.9999966977269	150	0.0	45.726079
omn_3_r2	7.972718754331424	51.0	149.99999765997867	150	0.0	45.726079
veg_1_r1	13.350598027796153	56.0	149.99999980236507	150	10.0	35.418839
veg_1_r2	9.417651157269319	56.0	150.0	150	0.0	35.418839
veg_2_r1	34.341548563455376	47.0	149.99999653390105	150	10.0	39.237195
veg_2_r2	25.767508174997502	48.0	149.99999737493977	150	10.0	39.237195
veg_3_r1	23.476113153787878	51.0	149.99999653901128	150	0.0	41.028738
veg_3_r2	17.36908595921814	51.0	149.9999977332961	150	0.0	41.028738
