Module	Section	Sample Name	Source
FastQC	all_sections	omn_1_r1	/home/ken/binf6110/assign_03/fastqc_results/omn_1_r1_fastqc.zip
FastQC	all_sections	omn_1_r2	/home/ken/binf6110/assign_03/fastqc_results/omn_1_r2_fastqc.zip
FastQC	all_sections	omn_2_r1	/home/ken/binf6110/assign_03/fastqc_results/omn_2_r1_fastqc.zip
FastQC	all_sections	omn_2_r2	/home/ken/binf6110/assign_03/fastqc_results/omn_2_r2_fastqc.zip
FastQC	all_sections	omn_3_r1	/home/ken/binf6110/assign_03/fastqc_results/omn_3_r1_fastqc.zip
FastQC	all_sections	omn_3_r2	/home/ken/binf6110/assign_03/fastqc_results/omn_3_r2_fastqc.zip
FastQC	all_sections	veg_1_r1	/home/ken/binf6110/assign_03/fastqc_results/veg_1_r1_fastqc.zip
FastQC	all_sections	veg_1_r2	/home/ken/binf6110/assign_03/fastqc_results/veg_1_r2_fastqc.zip
FastQC	all_sections	veg_2_r1	/home/ken/binf6110/assign_03/fastqc_results/veg_2_r1_fastqc.zip
FastQC	all_sections	veg_2_r2	/home/ken/binf6110/assign_03/fastqc_results/veg_2_r2_fastqc.zip
FastQC	all_sections	veg_3_r1	/home/ken/binf6110/assign_03/fastqc_results/veg_3_r1_fastqc.zip
FastQC	all_sections	veg_3_r2	/home/ken/binf6110/assign_03/fastqc_results/veg_3_r2_fastqc.zip
