Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
omn_1_r1_trim	(1, 2.0465837143834036)	(2, 0.004892490522683796)	(3, 0.009958709168366286)	(4, 0.10781362927271863)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0007629075513585863)	(40, 0.001731822232500165)	(45, 0.0003996330040319904)	(50, 0.0)	(55, 0.0)	(60, 8.076178853502992e-05)	(65, 0.0007054600728411041)	(70, 0.00026585886745001845)	(75, 0.0)	(80, 3.273229324732637e-05)	(85, 0.00023531635173222094)	(90, 0.0)	(95, 0.0)	(100, 0.0008802370784154054)	(105, 0.0)	(110, 5.126178289885494e-07)	(115, 0.001443548534084415)	(120, 4.056104718190906e-05)	(125, 0.0007545058622381463)	(130, 1.389453533071567e-05)	(135, 0.0)	(140, 6.195502232657651e-06)	(145, 0.0014817378193649432)	(150, 0.0)
omn_1_r2_trim	(1, 1.633997306038874)	(2, 0.07130517518961084)	(3, 0.006542907691171384)	(4, 0.15641918133227958)	(5, 0.0)	(6, 1.788377736751257e-05)	(7, 0.0)	(8, 0.0)	(9, 1.2774126691080407e-05)	(10, 0.00028256368240669864)	(15, 3.4234659532095486e-05)	(20, 0.0005947633387367037)	(25, 0.0009524388860869551)	(30, 0.0013351641245518148)	(35, 0.00021819258166786093)	(40, 0.0)	(45, 1.0731832589094371e-05)	(50, 0.000555534854315533)	(55, 0.0)	(60, 0.0002683540441828526)	(65, 0.0002663367376450835)	(70, 0.0004013446364389702)	(75, 4.090764512599444e-06)	(80, 0.0)	(85, 0.0)	(90, 0.0026858715883309714)	(95, 0.0)	(100, 0.0)	(105, 5.635451688010411e-05)	(110, 0.0)	(115, 0.0)	(120, 0.00012476372740764433)	(125, 0.0002395093540892208)	(130, 0.0)	(135, 2.7315208325131253e-05)	(140, 0.0)	(145, 0.0)	(150, 0.0)
omn_2_r1_trim	(1, 1.6363616464638484)	(2, 0.009038422840419679)	(3, 0.0037036649310991433)	(4, 0.0006159556951792293)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 1.6390237382451597e-05)	(15, 0.0)	(20, 0.00010627218431847647)	(25, 0.0002024987392735149)	(30, 5.287216650591502e-07)	(35, 0.0006477081007477434)	(40, 5.287681912980101e-07)	(45, 0.0)	(50, 0.0)	(55, 0.00033055704553041975)	(60, 0.0001957118962836125)	(65, 0.00025446079023205755)	(70, 5.29117729626089e-07)	(75, 3.5987811796086014e-05)	(80, 0.0)	(85, 0.0012507957605522137)	(90, 0.0002585216976015867)	(95, 0.0)	(100, 5.144242327458029e-05)	(105, 0.0)	(110, 0.0)	(115, 0.0005328724493637423)	(120, 0.0008829368554554298)	(125, 2.773702524234119e-05)	(130, 0.0)	(135, 2.357099819025626e-05)	(140, 2.632223191769702e-05)	(145, 0.0)	(150, 0.0)
omn_2_r2_trim	(1, 1.3608258945447897)	(2, 0.0)	(3, 2.643586674588967e-06)	(4, 0.0)	(5, 0.0)	(6, 0.0007957195890512792)	(7, 4.2297386793423474e-05)	(8, 0.001210762696961747)	(9, 0.0)	(10, 0.0005720721563810525)	(15, 0.00033309192099820987)	(20, 5.287173349177935e-05)	(25, 0.0)	(30, 4.7056228190264364e-05)	(35, 3.119573709723825e-05)	(40, 1.7449350312834332e-05)	(45, 0.0004775076398313966)	(50, 0.00021735441870744839)	(55, 4.2311301827893725e-06)	(60, 0.00012271664848053542)	(65, 3.01543971792667e-05)	(70, 0.0009185483786308905)	(75, 1.164311558108665e-05)	(80, 2.1174968062325047e-06)	(85, 2.435927391422601e-05)	(90, 0.0)	(95, 0.0)	(100, 0.0002513784395067119)	(105, 9.022397730856356e-06)	(110, 0.000492966638328699)	(115, 1.9145117941212298e-05)	(120, 0.00011822194325157143)	(125, 0.0)	(130, 0.00011063120860538923)	(135, 0.00013928317112424154)	(140, 1.0743768129672252e-06)	(145, 4.042113171063006e-05)	(150, 0.0)
omn_3_r1_trim	(1, 2.056416996021654)	(2, 0.005148093527638005)	(3, 0.010220381433820968)	(4, 0.10832846263635675)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0007607629405241063)	(40, 0.0017097713979451277)	(45, 0.00041787254336210315)	(50, 0.0)	(55, 0.0)	(60, 9.63458731204247e-05)	(65, 0.0006963350854004352)	(70, 0.00027570781535024943)	(75, 0.0)	(80, 4.01628808309625e-05)	(85, 0.0002249544447164231)	(90, 0.0)	(95, 0.0)	(100, 0.0009157808036029265)	(105, 0.0)	(110, 4.4715520062581695e-07)	(115, 0.0015114977188376197)	(120, 3.8512546572640405e-05)	(125, 0.0007965773157202991)	(130, 2.4236381848576528e-05)	(135, 0.0)	(140, 8.105341083402307e-06)	(145, 0.0015749229664111803)	(150, 0.0)
omn_3_r2_trim	(1, 1.6404537144810252)	(2, 0.07195514180054627)	(3, 0.006568334141369235)	(4, 0.1570781659632537)	(5, 0.0)	(6, 2.6754925219426618e-05)	(7, 0.0)	(8, 0.0)	(9, 2.0066193914569963e-05)	(10, 0.0002960878390949879)	(15, 3.344365652428327e-05)	(20, 0.0006523742599336856)	(25, 0.0009689742083635673)	(30, 0.0013159071904526656)	(35, 0.00024125014702435022)	(40, 0.0)	(45, 6.689528442296208e-06)	(50, 0.0005722052082724603)	(55, 0.0)	(60, 0.00028011670518345705)	(65, 0.0002765712703063868)	(70, 0.0003827788116027735)	(75, 4.461857985485397e-06)	(80, 0.0)	(85, 0.0)	(90, 0.002796946859058812)	(95, 0.0)	(100, 0.0)	(105, 6.971886502299914e-05)	(110, 0.0)	(115, 0.0)	(120, 0.00014598942072884617)	(125, 0.00025327303510521614)	(130, 0.0)	(135, 2.4272499258340298e-05)	(140, 0.0)	(145, 0.0)	(150, 0.0)
omn_4_r1_trim	(1, 1.2449525765974319)	(2, 0.04101582054978831)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0005167739147561253)	(7, 0.0)	(8, 0.0)	(9, 0.00012712085603626614)	(10, 0.00047532146170082125)	(15, 0.0)	(20, 0.0)	(25, 0.00012656815666219542)	(30, 0.00027027735547171286)	(35, 0.00012548188290639856)	(40, 0.000866352686152212)	(45, 0.00042303065598650483)	(50, 0.0)	(55, 1.5490882155282727e-05)	(60, 0.0)	(65, 0.00013729162432239594)	(70, 0.0016597722889890286)	(75, 0.0001850584197572314)	(80, 0.0010821220542095917)	(85, 0.0001919242747131736)	(90, 1.2765947999298427e-05)	(95, 0.002752233294291057)	(100, 0.0)	(105, 0.0)	(110, 0.00015822974698517453)	(115, 0.0003955649348768727)	(120, 0.0)	(125, 0.0003364924506211046)	(130, 5.050169081063659e-06)	(135, 0.0002053417790425806)	(140, 0.0)	(145, 0.00010474729341769932)	(150, 0.0)
omn_4_r2_trim	(1, 2.5982618654814287)	(2, 0.05550483464105229)	(3, 0.0010722367856972014)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 5.526993740707224e-06)	(8, 0.0005388818897189543)	(9, 2.763496870353612e-06)	(10, 5.748073490335513e-05)	(15, 1.9897177466546005e-05)	(20, 0.0003553856975274745)	(25, 0.0006217867958295627)	(30, 0.0004322226829833935)	(35, 0.0005798700227700972)	(40, 0.001212451461858201)	(45, 0.00027870254982640313)	(50, 4.867312848170503e-05)	(55, 0.0007645856835214546)	(60, 0.00012008970756495981)	(65, 0.002143520844259343)	(70, 5.538112409039134e-07)	(75, 0.0012521917025489309)	(80, 0.0005970519735572389)	(85, 0.0018848516921253292)	(90, 7.215535825690415e-06)	(95, 0.0036620533015662847)	(100, 0.0)	(105, 0.00028269593108233804)	(110, 9.471498939253404e-06)	(115, 2.231678052901962e-06)	(120, 0.0004040310586666006)	(125, 0.0)	(130, 0.0017434305927627543)	(135, 0.0)	(140, 0.001333903014496112)	(145, 0.00011380651879436523)	(150, 0.0)
omn_5_r1_trim	(1, 1.174331569386325)	(2, 0.03665009328609878)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0005029956658104635)	(7, 0.0)	(8, 0.0)	(9, 7.185652368720907e-05)	(10, 0.0004918905666951676)	(15, 0.0)	(20, 0.0)	(25, 0.00012411581364154295)	(30, 0.00027763622322548123)	(35, 0.00012021655234791224)	(40, 0.000882830466085999)	(45, 0.00041634080264637456)	(50, 0.0)	(55, 1.7001550567567992e-05)	(60, 0.0)	(65, 0.00014786996263142842)	(70, 0.0014667796787355865)	(75, 0.00017547886726007814)	(80, 0.0010611894686718658)	(85, 0.0001874331130845706)	(90, 1.0490613264794312e-05)	(95, 0.002747972001255054)	(100, 0.0)	(105, 0.0)	(110, 0.0001689125618274199)	(115, 0.00040650167193545674)	(120, 0.0)	(125, 0.00032885121429958433)	(130, 4.618420247186033e-06)	(135, 0.0002213093940077106)	(140, 0.0)	(145, 8.018234127068932e-05)	(150, 0.0)
omn_5_r2_trim	(1, 2.519962558831712)	(2, 0.05360823287628012)	(3, 0.0011986974633275333)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 9.798616866437601e-06)	(8, 0.000565053572631235)	(9, 0.0)	(10, 5.029956658104635e-05)	(15, 1.9597233732875203e-05)	(20, 0.0003396853847031702)	(25, 0.000557214679138085)	(30, 0.00043703207844199277)	(35, 0.0004985066817470491)	(40, 0.0010435827197182387)	(45, 0.00027189603438130584)	(50, 5.491447554204706e-05)	(55, 0.0007971111593025148)	(60, 0.00010138341661904697)	(65, 0.001921655222338519)	(70, 0.0)	(75, 0.001170732144257536)	(80, 0.0005705531032180217)	(85, 0.0018278005328421938)	(90, 4.589643303347511e-06)	(95, 0.00360667225182628)	(100, 0.0)	(105, 0.0002758500330261452)	(110, 7.229720545142486e-06)	(115, 3.2888484784422063e-06)	(120, 0.0004081819411750571)	(125, 0.0)	(130, 0.0017286087210896294)	(135, 0.0)	(140, 0.001329780530242643)	(145, 0.00011199021218798756)	(150, 0.0)
