Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
omn_1_r1_trim	(1, 30.87623337706087)	(2, 31.518905566987407)	(3, 35.29344067244638)	(4, 35.89660695946174)	(5, 36.18249181261511)	(6, 39.57084317334957)	(7, 39.728848288058806)	(8, 39.787401154765725)	(9, 39.7542997391089)	(10, 39.77268950985395)	(15, 39.69077939264597)	(20, 39.58861423182316)	(25, 39.457777783795805)	(30, 39.33360023640087)	(35, 39.29445280618431)	(40, 39.208017556109006)	(45, 39.09602061152613)	(50, 39.02832498236993)	(55, 38.97883287885177)	(60, 38.879424699149375)	(65, 38.773332889802724)	(70, 38.79305051541511)	(75, 38.521438525481734)	(80, 38.87637511509844)	(85, 38.798078740957685)	(90, 38.70756414662244)	(95, 38.603609751987264)	(100, 38.473944839591624)	(105, 38.301426960073385)	(110, 38.194956368847755)	(115, 37.992237120945205)	(120, 37.667161328080795)	(125, 37.455340612343456)	(130, 37.499034348931204)	(135, 37.187808672893674)	(140, 36.9785140434888)	(145, 36.5956253061048)	(150, 36.568268374347554)
omn_1_r2_trim	(1, 30.72456591537514)	(2, 31.033140274550217)	(3, 34.499358547228205)	(4, 35.23108875491328)	(5, 35.53280933525003)	(6, 38.67659500747784)	(7, 38.869178891143974)	(8, 38.799560539383926)	(9, 38.91306031567064)	(10, 38.89436894268477)	(15, 38.70692108571186)	(20, 38.61999132432412)	(25, 38.478690853334406)	(30, 38.45585347319104)	(35, 38.314291508154895)	(40, 38.24953276722979)	(45, 38.28275384603387)	(50, 38.168501789410286)	(55, 37.97702017563639)	(60, 37.91520501627036)	(65, 38.08505933207961)	(70, 38.02279095004425)	(75, 37.51622750003763)	(80, 37.964375105129555)	(85, 37.81749665125978)	(90, 37.68572922368944)	(95, 37.58263767565614)	(100, 37.30709596541144)	(105, 37.0713963576502)	(110, 36.74601904872702)	(115, 36.4058832867217)	(120, 35.98786896000085)	(125, 35.654503010262665)	(130, 35.278616337483456)	(135, 34.857187236786785)	(140, 34.32222578497412)	(145, 33.85050373184381)	(150, 33.62526939185511)
omn_2_r1_trim	(1, 31.002477728046625)	(2, 31.543698434859223)	(3, 35.38460450727298)	(4, 35.991128942631946)	(5, 36.19857393831709)	(6, 39.636534907134504)	(7, 39.71239545539957)	(8, 39.816945105076755)	(9, 39.8224877282063)	(10, 39.806598186140015)	(15, 39.738775346841216)	(20, 39.6493324097699)	(25, 39.500322877102086)	(30, 39.41173839315178)	(35, 39.31653504179576)	(40, 39.279261103398014)	(45, 39.17866720391219)	(50, 39.1454139921374)	(55, 39.09534053481268)	(60, 38.89312023208747)	(65, 38.82145718847487)	(70, 38.91807767917092)	(75, 38.620389570671264)	(80, 38.95706500981822)	(85, 38.8940120494367)	(90, 38.77857238090013)	(95, 38.69740512441047)	(100, 38.58855266780412)	(105, 38.46979338377098)	(110, 38.35913158022401)	(115, 37.999545361518)	(120, 37.66633079055378)	(125, 37.507454557354436)	(130, 37.42969736851726)	(135, 37.17943484141479)	(140, 36.89683744283571)	(145, 36.64033945582487)	(150, 36.41577694248449)
omn_2_r2_trim	(1, 30.928044505098896)	(2, 31.21812646051555)	(3, 34.57952675357299)	(4, 35.388962856444046)	(5, 35.63062323930519)	(6, 38.75243170320262)	(7, 38.99481703683753)	(8, 38.8416981438532)	(9, 39.02739374394156)	(10, 38.97605478843957)	(15, 38.88401923304475)	(20, 38.814695190755394)	(25, 38.74295171679277)	(30, 38.6958561273411)	(35, 38.615376283196575)	(40, 38.56051543394223)	(45, 38.523996613274775)	(50, 38.548706747124264)	(55, 38.37693164735006)	(60, 38.377762976244966)	(65, 38.45415907605686)	(70, 38.31405921784073)	(75, 37.972900562976264)	(80, 38.40182697108461)	(85, 38.28110254831957)	(90, 38.18479646959468)	(95, 38.0038735938094)	(100, 37.908763525307386)	(105, 37.58573205903436)	(110, 37.233438368043025)	(115, 36.94528305293422)	(120, 36.59817141048596)	(125, 36.27146622638854)	(130, 35.8625065779902)	(135, 35.50552382733793)	(140, 35.09798408467565)	(145, 34.67851530060808)	(150, 34.388023035801965)
omn_3_r1_trim	(1, 30.87141872784567)	(2, 31.521785030641635)	(3, 35.29865932184514)	(4, 35.89574296810891)	(5, 36.18322840757695)	(6, 39.57569714138116)	(7, 39.73269963549759)	(8, 39.79191421568327)	(9, 39.75606801146582)	(10, 39.77720413483992)	(15, 39.696661897229646)	(20, 39.59452727558721)	(25, 39.46423618534519)	(30, 39.334982911349655)	(35, 39.28610285378969)	(40, 39.20291295922048)	(45, 39.09517539492535)	(50, 39.030923171415864)	(55, 38.98577249832023)	(60, 38.88646873150154)	(65, 38.779059966749024)	(70, 38.79922659033822)	(75, 38.524348535392406)	(80, 38.874708476188886)	(85, 38.79468434614256)	(90, 38.70578854726041)	(95, 38.60161713122331)	(100, 38.47308392266536)	(105, 38.29914876356537)	(110, 38.19398358379459)	(115, 37.994050083047945)	(120, 37.66778973544437)	(125, 37.46035545198226)	(130, 37.50556527953664)	(135, 37.19700430044134)	(140, 36.991663259954336)	(145, 36.61011876649915)	(150, 36.58373687155805)
omn_3_r2_trim	(1, 30.812053450543686)	(2, 31.131504024776845)	(3, 34.63218265230715)	(4, 35.290215355967035)	(5, 35.576450181047235)	(6, 38.7805669167992)	(7, 38.984498151736325)	(8, 38.956383407442615)	(9, 39.03313358923676)	(10, 39.04035146161599)	(15, 38.85040713081185)	(20, 38.775102892196266)	(25, 38.63445577750871)	(30, 38.61874776753781)	(35, 38.48537110146041)	(40, 38.43246907070608)	(45, 38.47044689230123)	(50, 38.36703224374138)	(55, 38.18145062984943)	(60, 38.12940411414199)	(65, 38.300672860643054)	(70, 38.24853128474638)	(75, 37.743166283650964)	(80, 38.17503158175832)	(85, 38.03441156254077)	(90, 37.913025311765004)	(95, 37.82139419942527)	(100, 37.557816043380825)	(105, 37.33303550590021)	(110, 37.02639002377446)	(115, 36.71069449393462)	(120, 36.30837282691006)	(125, 35.99649309514841)	(130, 35.64407103568758)	(135, 35.24778387629255)	(140, 34.73424912035004)	(145, 34.28759708683513)	(150, 34.0721898985156)
omn_4_r1_trim	(1, 31.200219686947207)	(2, 31.615142299224424)	(3, 35.631587233495615)	(4, 36.18290320103304)	(5, 36.3804752368987)	(6, 39.94022652991816)	(7, 40.05761730691869)	(8, 40.13402642019075)	(9, 40.14668351220666)	(10, 40.11628919740507)	(15, 40.06754711492722)	(20, 39.997150177014404)	(25, 39.85668179690415)	(30, 39.785552352209535)	(35, 39.76897615923285)	(40, 39.747951810772335)	(45, 39.69744757217216)	(50, 39.657132733647856)	(55, 39.603594533391835)	(60, 39.55913981726728)	(65, 39.42267447233681)	(70, 39.390909949584774)	(75, 39.136982727520774)	(80, 39.322912602473174)	(85, 39.317295996244184)	(90, 39.25882767163322)	(95, 39.1694732119512)	(100, 39.078827242648075)	(105, 39.01015600905212)	(110, 38.88896247718627)	(115, 38.68157846524589)	(120, 38.56124544079852)	(125, 38.371766072698826)	(130, 38.15203120693567)	(135, 37.9635670209537)	(140, 37.63216671134175)	(145, 37.29392021190378)	(150, 37.05319752390668)
omn_4_r2_trim	(1, 30.508428402922377)	(2, 31.26954767110861)	(3, 34.933155128316486)	(4, 35.74805384187277)	(5, 35.97692540910186)	(6, 39.306673704003565)	(7, 39.433692365925566)	(8, 39.50572805195551)	(9, 39.57007383814923)	(10, 39.56619211437826)	(15, 39.465833448409946)	(20, 39.36822969036372)	(25, 39.32761196259209)	(30, 39.213189030219645)	(35, 39.11784868965074)	(40, 39.02520332021059)	(45, 38.947179660595964)	(50, 38.898939540802544)	(55, 38.80041039514016)	(60, 38.671437753234294)	(65, 38.51728847778129)	(70, 38.40027471169551)	(75, 37.972048734536756)	(80, 38.40646024925026)	(85, 38.19640389340002)	(90, 38.180249033189554)	(95, 37.99410512558982)	(100, 37.81373376700838)	(105, 37.56405798209951)	(110, 37.279293437817685)	(115, 37.011661186125096)	(120, 36.60502671977234)	(125, 36.220447889957256)	(130, 35.72722338356262)	(135, 35.22246178248766)	(140, 34.56605429839732)	(145, 33.81249890681707)	(150, 33.400788370904905)
omn_5_r1_trim	(1, 31.193615965944712)	(2, 31.594062737146942)	(3, 35.58848147764188)	(4, 36.14709131651146)	(5, 36.35561450621209)	(6, 39.90434740460442)	(7, 40.02491197085917)	(8, 40.105602568230545)	(9, 40.116121122140214)	(10, 40.08677523795451)	(15, 40.03619126325271)	(20, 39.967164547454466)	(25, 39.8209731228512)	(30, 39.741418473901234)	(35, 39.732720731442555)	(40, 39.70551955564385)	(45, 39.64929185297214)	(50, 39.60640315603804)	(55, 39.54811378874141)	(60, 39.50223869406439)	(65, 39.359759881690174)	(70, 39.329951029858854)	(75, 39.071517341374935)	(80, 39.262400358229264)	(85, 39.25302823272629)	(90, 39.18994256683877)	(95, 39.097633539507044)	(100, 38.99956066296747)	(105, 38.92902829746289)	(110, 38.801535775348)	(115, 38.58570516956992)	(120, 38.457330854924166)	(125, 38.261722026689974)	(130, 38.03389858853427)	(135, 37.835813864992474)	(140, 37.49534053242776)	(145, 37.148170335026165)	(150, 36.90112675609725)
omn_5_r2_trim	(1, 30.39253412678613)	(2, 31.175280957374515)	(3, 34.70599795548593)	(4, 35.55196987147416)	(5, 35.80609255786557)	(6, 39.05556638847087)	(7, 39.23144372232993)	(8, 39.29192450910399)	(9, 39.34819616935485)	(10, 39.35381956944485)	(15, 39.224793851799056)	(20, 39.106915243205265)	(25, 39.06293236151957)	(30, 38.931856043176104)	(35, 38.827361398527174)	(40, 38.71922419377454)	(45, 38.63447325150831)	(50, 38.5785548411499)	(55, 38.47065147073014)	(60, 38.322107388043435)	(65, 38.15285399762139)	(70, 38.02070753339122)	(75, 37.57538993586682)	(80, 38.038369706710434)	(85, 37.81615780327476)	(90, 37.78865656375474)	(95, 37.58720496007563)	(100, 37.383604055303465)	(105, 37.11289889420708)	(110, 36.807435702422424)	(115, 36.50808336628233)	(120, 36.075130178701976)	(125, 35.660973589087455)	(130, 35.13217204097484)	(135, 34.598226770733405)	(140, 33.913487059689025)	(145, 33.14773869346671)	(150, 32.73506554244226)
