Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
omn_1_r1_trim	(0.0, 21.0)	(1.0, 82.5)	(2.0, 153.5)	(3.0, 143.5)	(4.0, 98.0)	(5.0, 71.5)	(6.0, 72.0)	(7.0, 70.5)	(8.0, 68.5)	(9.0, 88.0)	(10.0, 150.0)	(11.0, 277.5)	(12.0, 467.0)	(13.0, 772.5)	(14.0, 1302.0)	(15.0, 2083.0)	(16.0, 3311.5)	(17.0, 5034.0)	(18.0, 7672.0)	(19.0, 11739.0)	(20.0, 16936.5)	(21.0, 23508.5)	(22.0, 31785.5)	(23.0, 41175.0)	(24.0, 52311.0)	(25.0, 65956.0)	(26.0, 81232.0)	(27.0, 99564.0)	(28.0, 121134.0)	(29.0, 144490.5)	(30.0, 170733.5)	(31.0, 198665.0)	(32.0, 227252.5)	(33.0, 258431.5)	(34.0, 292711.0)	(35.0, 327679.5)	(36.0, 365167.0)	(37.0, 406550.0)	(38.0, 450104.0)	(39.0, 495407.0)	(40.0, 543262.5)	(41.0, 593287.5)	(42.0, 643999.5)	(43.0, 696627.0)	(44.0, 751686.5)	(45.0, 810492.0)	(46.0, 874976.0)	(47.0, 941778.5)	(48.0, 1010681.0)	(49.0, 1084643.5)	(50.0, 1163821.5)	(51.0, 1247529.0)	(52.0, 1330590.5)	(53.0, 1408008.5)	(54.0, 1479904.5)	(55.0, 1544629.0)	(56.0, 1598037.0)	(57.0, 1634146.0)	(58.0, 1646542.5)	(59.0, 1635527.5)	(60.0, 1603880.5)	(61.0, 1548662.5)	(62.0, 1465916.0)	(63.0, 1357025.0)	(64.0, 1230461.0)	(65.0, 1090273.5)	(66.0, 942994.5)	(67.0, 796533.0)	(68.0, 653346.0)	(69.0, 521578.5)	(70.0, 406719.5)	(71.0, 308215.0)	(72.0, 226545.5)	(73.0, 162358.0)	(74.0, 112135.5)	(75.0, 74923.0)	(76.0, 49004.5)	(77.0, 31081.5)	(78.0, 19141.5)	(79.0, 11315.0)	(80.0, 6396.5)	(81.0, 3431.5)	(82.0, 1705.5)	(83.0, 837.0)	(84.0, 428.0)	(85.0, 303.0)	(86.0, 176.0)	(87.0, 40.0)	(88.0, 17.0)	(89.0, 9.0)	(90.0, 6.5)	(91.0, 6.5)	(92.0, 4.5)	(93.0, 3.5)	(94.0, 2.0)	(95.0, 2.0)	(96.0, 1.5)	(97.0, 2.0)	(98.0, 2.0)	(99.0, 1.0)	(100.0, 0.5)
omn_1_r2_trim	(0.0, 20.0)	(1.0, 89.5)	(2.0, 170.0)	(3.0, 157.0)	(4.0, 102.5)	(5.0, 63.5)	(6.0, 54.5)	(7.0, 59.0)	(8.0, 68.0)	(9.0, 84.0)	(10.0, 153.5)	(11.0, 270.0)	(12.0, 428.5)	(13.0, 765.0)	(14.0, 1276.0)	(15.0, 2022.5)	(16.0, 3269.5)	(17.0, 5035.0)	(18.0, 7547.5)	(19.0, 11361.5)	(20.0, 16602.0)	(21.0, 22894.5)	(22.0, 30931.5)	(23.0, 40783.5)	(24.0, 52127.5)	(25.0, 65057.0)	(26.0, 80025.5)	(27.0, 98764.5)	(28.0, 120804.0)	(29.0, 143745.5)	(30.0, 169414.5)	(31.0, 197488.0)	(32.0, 226639.0)	(33.0, 258045.5)	(34.0, 291512.0)	(35.0, 326684.5)	(36.0, 365307.5)	(37.0, 406618.0)	(38.0, 449963.0)	(39.0, 495837.5)	(40.0, 542879.5)	(41.0, 593894.0)	(42.0, 644469.5)	(43.0, 694519.0)	(44.0, 751289.5)	(45.0, 811029.0)	(46.0, 873716.5)	(47.0, 940703.0)	(48.0, 1010030.5)	(49.0, 1083451.0)	(50.0, 1161562.0)	(51.0, 1244194.0)	(52.0, 1328400.0)	(53.0, 1405332.5)	(54.0, 1475380.5)	(55.0, 1540036.0)	(56.0, 1593985.0)	(57.0, 1631300.5)	(58.0, 1643658.5)	(59.0, 1632820.0)	(60.0, 1601949.5)	(61.0, 1546479.0)	(62.0, 1463643.0)	(63.0, 1356529.0)	(64.0, 1229741.5)	(65.0, 1090912.0)	(66.0, 947115.5)	(67.0, 801533.0)	(68.0, 659467.0)	(69.0, 528645.5)	(70.0, 413366.5)	(71.0, 314024.0)	(72.0, 231810.0)	(73.0, 166646.5)	(74.0, 115416.5)	(75.0, 77466.0)	(76.0, 51089.5)	(77.0, 32520.5)	(78.0, 20123.5)	(79.0, 12071.5)	(80.0, 6882.5)	(81.0, 3713.5)	(82.0, 1913.0)	(83.0, 951.0)	(84.0, 468.0)	(85.0, 310.0)	(86.0, 181.5)	(87.0, 60.5)	(88.0, 35.5)	(89.0, 19.5)	(90.0, 15.5)	(91.0, 14.5)	(92.0, 9.0)	(93.0, 8.5)	(94.0, 6.5)	(95.0, 5.0)	(96.0, 4.0)	(97.0, 4.5)	(98.0, 5.0)	(99.0, 2.5)	(100.0, 1.0)
omn_2_r1_trim	(0.0, 21.0)	(1.0, 112.5)	(2.0, 224.0)	(3.0, 218.0)	(4.0, 148.0)	(5.0, 121.5)	(6.0, 156.0)	(7.0, 177.5)	(8.0, 245.0)	(9.0, 377.5)	(10.0, 588.5)	(11.0, 927.5)	(12.0, 1548.5)	(13.0, 2718.0)	(14.0, 3950.0)	(15.0, 5554.5)	(16.0, 9059.0)	(17.0, 12480.5)	(18.0, 15511.5)	(19.0, 21359.5)	(20.0, 30119.5)	(21.0, 41245.0)	(22.0, 56329.0)	(23.0, 77006.0)	(24.0, 103538.0)	(25.0, 134045.0)	(26.0, 167567.0)	(27.0, 203901.5)	(28.0, 241978.5)	(29.0, 281050.5)	(30.0, 318669.0)	(31.0, 358769.0)	(32.0, 399184.5)	(33.0, 439148.5)	(34.0, 478469.0)	(35.0, 513863.5)	(36.0, 550635.0)	(37.0, 594041.0)	(38.0, 641902.0)	(39.0, 692602.5)	(40.0, 747200.5)	(41.0, 808972.0)	(42.0, 882499.0)	(43.0, 975960.5)	(44.0, 1086539.5)	(45.0, 1198372.0)	(46.0, 1314308.0)	(47.0, 1429443.0)	(48.0, 1535634.5)	(49.0, 1627195.5)	(50.0, 1688466.0)	(51.0, 1711622.0)	(52.0, 1695559.0)	(53.0, 1640644.0)	(54.0, 1554026.0)	(55.0, 1446936.5)	(56.0, 1325402.0)	(57.0, 1198973.0)	(58.0, 1074302.5)	(59.0, 954722.5)	(60.0, 855007.5)	(61.0, 774716.0)	(62.0, 698267.0)	(63.0, 619010.5)	(64.0, 537660.0)	(65.0, 459358.5)	(66.0, 387609.0)	(67.0, 319556.5)	(68.0, 256561.0)	(69.0, 198548.5)	(70.0, 147691.0)	(71.0, 106909.5)	(72.0, 74297.5)	(73.0, 50129.5)	(74.0, 32512.0)	(75.0, 20072.0)	(76.0, 12116.0)	(77.0, 7272.5)	(78.0, 4033.5)	(79.0, 2208.5)	(80.0, 1274.5)	(81.0, 735.5)	(82.0, 439.5)	(83.0, 242.5)	(84.0, 118.0)	(85.0, 48.5)	(86.0, 22.0)	(87.0, 13.5)	(88.0, 7.5)	(89.0, 4.5)	(90.0, 5.0)	(91.0, 4.5)	(92.0, 1.5)	(93.0, 0.5)	(94.0, 1.0)	(95.0, 2.0)	(96.0, 1.5)	(97.0, 1.0)	(98.0, 0.5)	(99.0, 1.0)	(100.0, 1.0)
omn_2_r2_trim	(0.0, 19.0)	(1.0, 108.5)	(2.0, 218.5)	(3.0, 223.0)	(4.0, 162.5)	(5.0, 119.0)	(6.0, 140.0)	(7.0, 175.5)	(8.0, 258.0)	(9.0, 404.0)	(10.0, 622.0)	(11.0, 938.5)	(12.0, 1514.5)	(13.0, 2639.5)	(14.0, 3832.5)	(15.0, 5362.5)	(16.0, 8798.5)	(17.0, 12187.0)	(18.0, 15150.5)	(19.0, 20850.0)	(20.0, 29522.0)	(21.0, 40671.5)	(22.0, 55430.0)	(23.0, 75685.5)	(24.0, 102003.0)	(25.0, 132545.5)	(26.0, 165356.0)	(27.0, 201038.5)	(28.0, 239334.5)	(29.0, 278486.5)	(30.0, 316942.0)	(31.0, 357435.0)	(32.0, 397896.0)	(33.0, 438177.0)	(34.0, 477536.5)	(35.0, 513047.5)	(36.0, 550397.5)	(37.0, 593990.5)	(38.0, 642001.0)	(39.0, 692641.0)	(40.0, 747501.5)	(41.0, 810490.0)	(42.0, 883221.0)	(43.0, 976084.0)	(44.0, 1085815.0)	(45.0, 1196204.0)	(46.0, 1311965.5)	(47.0, 1427619.5)	(48.0, 1534503.5)	(49.0, 1624362.0)	(50.0, 1684451.5)	(51.0, 1708125.5)	(52.0, 1693845.5)	(53.0, 1639430.0)	(54.0, 1552079.5)	(55.0, 1444860.5)	(56.0, 1326111.5)	(57.0, 1202444.0)	(58.0, 1077196.5)	(59.0, 957727.5)	(60.0, 857348.0)	(61.0, 777977.0)	(62.0, 701401.5)	(63.0, 620288.5)	(64.0, 540141.5)	(65.0, 463489.0)	(66.0, 390812.0)	(67.0, 322377.0)	(68.0, 259291.5)	(69.0, 201316.0)	(70.0, 150414.0)	(71.0, 108696.5)	(72.0, 75835.5)	(73.0, 51244.5)	(74.0, 33345.5)	(75.0, 20908.0)	(76.0, 12763.0)	(77.0, 7568.0)	(78.0, 4264.0)	(79.0, 2334.0)	(80.0, 1312.0)	(81.0, 754.0)	(82.0, 438.5)	(83.0, 242.0)	(84.0, 134.0)	(85.0, 70.0)	(86.0, 32.0)	(87.0, 21.5)	(88.0, 17.5)	(89.0, 13.5)	(90.0, 11.5)	(91.0, 7.5)	(92.0, 7.0)	(93.0, 7.0)	(94.0, 3.0)	(95.0, 2.0)	(96.0, 1.5)	(97.0, 1.0)	(98.0, 1.0)	(99.0, 0.5)	(100.0, 0.5)
omn_3_r1_trim	(0.0, 3.0)	(1.0, 8.0)	(2.0, 14.5)	(3.0, 13.5)	(4.0, 10.0)	(5.0, 17.0)	(6.0, 26.5)	(7.0, 34.0)	(8.0, 53.0)	(9.0, 116.0)	(10.0, 256.0)	(11.0, 502.5)	(12.0, 915.5)	(13.0, 1532.0)	(14.0, 2591.5)	(15.0, 4066.0)	(16.0, 6053.5)	(17.0, 8752.5)	(18.0, 12711.0)	(19.0, 18181.5)	(20.0, 25254.0)	(21.0, 33921.5)	(22.0, 44491.5)	(23.0, 57617.5)	(24.0, 72995.0)	(25.0, 90847.5)	(26.0, 111379.0)	(27.0, 134015.5)	(28.0, 160028.5)	(29.0, 189675.5)	(30.0, 221284.5)	(31.0, 254948.0)	(32.0, 293144.5)	(33.0, 335788.0)	(34.0, 380775.0)	(35.0, 429306.5)	(36.0, 483470.0)	(37.0, 544747.0)	(38.0, 613169.0)	(39.0, 688559.5)	(40.0, 770132.5)	(41.0, 857101.0)	(42.0, 949655.0)	(43.0, 1048075.0)	(44.0, 1147768.5)	(45.0, 1245558.0)	(46.0, 1341710.0)	(47.0, 1432615.5)	(48.0, 1517196.0)	(49.0, 1592565.5)	(50.0, 1654613.0)	(51.0, 1701097.5)	(52.0, 1731462.0)	(53.0, 1743363.0)	(54.0, 1737602.0)	(55.0, 1716444.0)	(56.0, 1682084.0)	(57.0, 1635909.0)	(58.0, 1576054.0)	(59.0, 1505225.5)	(60.0, 1426941.5)	(61.0, 1339374.0)	(62.0, 1241416.0)	(63.0, 1135101.5)	(64.0, 1023465.0)	(65.0, 909858.5)	(66.0, 795088.5)	(67.0, 680641.5)	(68.0, 568829.0)	(69.0, 465372.0)	(70.0, 374388.5)	(71.0, 295479.5)	(72.0, 227778.0)	(73.0, 172389.5)	(74.0, 127679.5)	(75.0, 92741.0)	(76.0, 66363.0)	(77.0, 46060.5)	(78.0, 31459.0)	(79.0, 20726.5)	(80.0, 13011.5)	(81.0, 7860.0)	(82.0, 4399.5)	(83.0, 2313.5)	(84.0, 1175.5)	(85.0, 530.5)	(86.0, 211.0)	(87.0, 74.0)	(88.0, 26.5)	(89.0, 13.0)	(90.0, 10.5)	(91.0, 8.5)	(92.0, 7.0)	(93.0, 6.5)	(94.0, 4.0)	(95.0, 1.5)	(96.0, 1.5)	(97.0, 1.5)	(98.0, 2.5)	(99.0, 3.0)	(100.0, 2.0)
omn_3_r2_trim	(0.0, 2.0)	(1.0, 6.5)	(2.0, 13.5)	(3.0, 14.5)	(4.0, 12.0)	(5.0, 15.0)	(6.0, 19.5)	(7.0, 30.0)	(8.0, 67.5)	(9.0, 133.5)	(10.0, 268.0)	(11.0, 485.0)	(12.0, 908.0)	(13.0, 1570.0)	(14.0, 2535.0)	(15.0, 3932.5)	(16.0, 5951.5)	(17.0, 8698.5)	(18.0, 12526.0)	(19.0, 17882.0)	(20.0, 24885.0)	(21.0, 33600.5)	(22.0, 44159.0)	(23.0, 57022.5)	(24.0, 71956.0)	(25.0, 89383.5)	(26.0, 109920.5)	(27.0, 132957.5)	(28.0, 159128.0)	(29.0, 188429.0)	(30.0, 220320.5)	(31.0, 254894.0)	(32.0, 292735.5)	(33.0, 334683.5)	(34.0, 379588.5)	(35.0, 428701.0)	(36.0, 484169.5)	(37.0, 545694.0)	(38.0, 613300.0)	(39.0, 688659.5)	(40.0, 770050.0)	(41.0, 856759.0)	(42.0, 948464.0)	(43.0, 1045647.0)	(44.0, 1145951.0)	(45.0, 1245296.5)	(46.0, 1341142.0)	(47.0, 1430016.0)	(48.0, 1514541.5)	(49.0, 1590919.5)	(50.0, 1652341.5)	(51.0, 1698109.0)	(52.0, 1730594.0)	(53.0, 1743540.5)	(54.0, 1737915.5)	(55.0, 1717386.5)	(56.0, 1682309.0)	(57.0, 1634113.5)	(58.0, 1573319.0)	(59.0, 1504050.0)	(60.0, 1426158.0)	(61.0, 1338379.5)	(62.0, 1241387.0)	(63.0, 1135368.5)	(64.0, 1025485.5)	(65.0, 913179.5)	(66.0, 797492.5)	(67.0, 683221.0)	(68.0, 572148.5)	(69.0, 469701.5)	(70.0, 378606.0)	(71.0, 298491.5)	(72.0, 230356.5)	(73.0, 174670.5)	(74.0, 129509.0)	(75.0, 94022.5)	(76.0, 67215.0)	(77.0, 47025.5)	(78.0, 32270.0)	(79.0, 21231.0)	(80.0, 13337.5)	(81.0, 8096.5)	(82.0, 4541.0)	(83.0, 2415.5)	(84.0, 1221.5)	(85.0, 564.0)	(86.0, 248.5)	(87.0, 100.5)	(88.0, 47.5)	(89.0, 29.5)	(90.0, 20.5)	(91.0, 18.0)	(92.0, 16.5)	(93.0, 14.0)	(94.0, 13.5)	(95.0, 10.5)	(96.0, 4.5)	(97.0, 3.5)	(98.0, 2.5)	(99.0, 0.5)	(100.0, 0.0)
omn_4_r1_trim	(0.0, 4.0)	(1.0, 31.5)	(2.0, 66.0)	(3.0, 61.5)	(4.0, 44.0)	(5.0, 35.5)	(6.0, 35.5)	(7.0, 42.5)	(8.0, 51.0)	(9.0, 75.5)	(10.0, 137.5)	(11.0, 211.5)	(12.0, 280.5)	(13.0, 434.5)	(14.0, 659.5)	(15.0, 1036.0)	(16.0, 1710.5)	(17.0, 2847.5)	(18.0, 4662.0)	(19.0, 7403.5)	(20.0, 11615.5)	(21.0, 18152.0)	(22.0, 27341.5)	(23.0, 38503.0)	(24.0, 52664.5)	(25.0, 70034.0)	(26.0, 90952.5)	(27.0, 116306.5)	(28.0, 142447.0)	(29.0, 170607.0)	(30.0, 203210.0)	(31.0, 236084.5)	(32.0, 269253.0)	(33.0, 307591.5)	(34.0, 346897.5)	(35.0, 386946.5)	(36.0, 432649.5)	(37.0, 478242.5)	(38.0, 525694.0)	(39.0, 577802.0)	(40.0, 631500.5)	(41.0, 689778.5)	(42.0, 747340.5)	(43.0, 803736.5)	(44.0, 862862.5)	(45.0, 920505.5)	(46.0, 973410.5)	(47.0, 1016614.5)	(48.0, 1056364.5)	(49.0, 1088537.0)	(50.0, 1106066.5)	(51.0, 1113214.0)	(52.0, 1114407.0)	(53.0, 1113443.0)	(54.0, 1111166.0)	(55.0, 1114382.0)	(56.0, 1131659.5)	(57.0, 1160133.5)	(58.0, 1187724.0)	(59.0, 1213364.0)	(60.0, 1233147.5)	(61.0, 1237066.5)	(62.0, 1219607.0)	(63.0, 1177435.0)	(64.0, 1113368.5)	(65.0, 1028192.0)	(66.0, 922715.0)	(67.0, 804819.0)	(68.0, 681504.0)	(69.0, 559964.0)	(70.0, 447576.0)	(71.0, 347054.5)	(72.0, 260403.5)	(73.0, 189732.5)	(74.0, 133485.5)	(75.0, 90240.5)	(76.0, 58873.5)	(77.0, 36936.5)	(78.0, 22284.0)	(79.0, 12960.0)	(80.0, 7160.0)	(81.0, 3737.5)	(82.0, 1995.0)	(83.0, 1033.5)	(84.0, 508.0)	(85.0, 248.0)	(86.0, 104.0)	(87.0, 46.5)	(88.0, 26.0)	(89.0, 14.5)	(90.0, 8.5)	(91.0, 6.5)	(92.0, 6.0)	(93.0, 3.0)	(94.0, 0.5)	(95.0, 0.0)	(96.0, 0.5)	(97.0, 1.0)	(98.0, 1.0)	(99.0, 0.5)	(100.0, 0.5)
omn_4_r2_trim	(0.0, 8.0)	(1.0, 32.5)	(2.0, 64.5)	(3.0, 61.5)	(4.0, 41.5)	(5.0, 31.5)	(6.0, 32.5)	(7.0, 40.0)	(8.0, 51.0)	(9.0, 81.0)	(10.0, 144.0)	(11.0, 222.0)	(12.0, 297.0)	(13.0, 432.5)	(14.0, 645.5)	(15.0, 1040.5)	(16.0, 1715.5)	(17.0, 2877.5)	(18.0, 4669.0)	(19.0, 7358.0)	(20.0, 11734.0)	(21.0, 18510.0)	(22.0, 27743.0)	(23.0, 39336.0)	(24.0, 53783.5)	(25.0, 70965.0)	(26.0, 92109.5)	(27.0, 117536.5)	(28.0, 143781.0)	(29.0, 171666.0)	(30.0, 203909.5)	(31.0, 237748.0)	(32.0, 271907.5)	(33.0, 310094.0)	(34.0, 349447.0)	(35.0, 388862.0)	(36.0, 433559.0)	(37.0, 478765.5)	(38.0, 526902.5)	(39.0, 579604.0)	(40.0, 634125.0)	(41.0, 692887.0)	(42.0, 750647.0)	(43.0, 806017.0)	(44.0, 862333.5)	(45.0, 920464.0)	(46.0, 974038.0)	(47.0, 1017514.0)	(48.0, 1056333.0)	(49.0, 1086314.5)	(50.0, 1102612.0)	(51.0, 1110664.0)	(52.0, 1113097.5)	(53.0, 1110591.0)	(54.0, 1107851.0)	(55.0, 1112298.0)	(56.0, 1129220.0)	(57.0, 1155630.5)	(58.0, 1183481.0)	(59.0, 1209164.0)	(60.0, 1228620.0)	(61.0, 1234475.5)	(62.0, 1217363.0)	(63.0, 1174030.0)	(64.0, 1109280.0)	(65.0, 1024748.5)	(66.0, 920544.5)	(67.0, 803900.5)	(68.0, 681905.0)	(69.0, 561252.0)	(70.0, 449704.0)	(71.0, 349477.5)	(72.0, 262950.5)	(73.0, 191837.5)	(74.0, 135079.5)	(75.0, 91827.0)	(76.0, 60178.0)	(77.0, 38156.0)	(78.0, 23170.5)	(79.0, 13511.5)	(80.0, 7673.5)	(81.0, 4128.5)	(82.0, 2135.5)	(83.0, 1108.5)	(84.0, 586.0)	(85.0, 316.5)	(86.0, 157.5)	(87.0, 75.5)	(88.0, 48.0)	(89.0, 36.5)	(90.0, 25.0)	(91.0, 18.5)	(92.0, 18.5)	(93.0, 16.5)	(94.0, 12.5)	(95.0, 8.0)	(96.0, 7.0)	(97.0, 6.0)	(98.0, 4.0)	(99.0, 5.0)	(100.0, 3.5)
omn_5_r1_trim	(0.0, 5.0)	(1.0, 10.0)	(2.0, 20.0)	(3.0, 35.5)	(4.0, 46.5)	(5.0, 55.0)	(6.0, 59.0)	(7.0, 68.0)	(8.0, 109.5)	(9.0, 173.5)	(10.0, 282.5)	(11.0, 439.5)	(12.0, 656.5)	(13.0, 944.5)	(14.0, 1445.5)	(15.0, 2319.5)	(16.0, 3464.5)	(17.0, 4927.5)	(18.0, 7224.0)	(19.0, 10609.5)	(20.0, 15277.0)	(21.0, 21506.5)	(22.0, 29287.5)	(23.0, 39096.5)	(24.0, 52009.5)	(25.0, 68236.0)	(26.0, 86103.5)	(27.0, 105174.0)	(28.0, 127745.0)	(29.0, 153025.5)	(30.0, 179368.5)	(31.0, 206046.5)	(32.0, 232691.0)	(33.0, 262044.0)	(34.0, 294194.0)	(35.0, 327597.5)	(36.0, 362887.0)	(37.0, 400932.0)	(38.0, 439948.5)	(39.0, 481794.0)	(40.0, 529945.0)	(41.0, 578816.0)	(42.0, 629876.0)	(43.0, 688034.5)	(44.0, 753238.5)	(45.0, 823828.5)	(46.0, 899202.5)	(47.0, 977384.0)	(48.0, 1052728.5)	(49.0, 1121913.5)	(50.0, 1180922.0)	(51.0, 1225600.0)	(52.0, 1252758.5)	(53.0, 1262847.5)	(54.0, 1251256.5)	(55.0, 1220936.5)	(56.0, 1182859.5)	(57.0, 1136575.0)	(58.0, 1082468.5)	(59.0, 1021474.0)	(60.0, 953245.0)	(61.0, 881616.0)	(62.0, 806562.5)	(63.0, 728209.0)	(64.0, 648749.5)	(65.0, 569960.5)	(66.0, 492484.5)	(67.0, 416235.0)	(68.0, 344245.5)	(69.0, 278471.5)	(70.0, 218676.0)	(71.0, 166737.0)	(72.0, 124092.5)	(73.0, 89711.5)	(74.0, 62707.5)	(75.0, 42341.0)	(76.0, 27708.0)	(77.0, 17561.0)	(78.0, 10920.0)	(79.0, 6651.5)	(80.0, 3783.5)	(81.0, 2043.0)	(82.0, 1104.0)	(83.0, 592.5)	(84.0, 335.5)	(85.0, 213.0)	(86.0, 114.5)	(87.0, 28.0)	(88.0, 13.5)	(89.0, 7.5)	(90.0, 5.5)	(91.0, 5.5)	(92.0, 6.0)	(93.0, 6.0)	(94.0, 3.5)	(95.0, 2.5)	(96.0, 4.0)	(97.0, 2.0)	(98.0, 0.5)	(99.0, 0.5)	(100.0, 0.0)
omn_5_r2_trim	(0.0, 6.0)	(1.0, 10.5)	(2.0, 21.5)	(3.0, 32.5)	(4.0, 40.0)	(5.0, 55.5)	(6.0, 69.5)	(7.0, 81.5)	(8.0, 110.0)	(9.0, 167.5)	(10.0, 275.5)	(11.0, 440.0)	(12.0, 659.0)	(13.0, 981.0)	(14.0, 1485.0)	(15.0, 2307.0)	(16.0, 3457.0)	(17.0, 4992.5)	(18.0, 7288.5)	(19.0, 10658.0)	(20.0, 15491.5)	(21.0, 21630.0)	(22.0, 29460.5)	(23.0, 39589.5)	(24.0, 52923.5)	(25.0, 69291.0)	(26.0, 87308.5)	(27.0, 106639.5)	(28.0, 129419.0)	(29.0, 154574.0)	(30.0, 180844.0)	(31.0, 207934.5)	(32.0, 234888.0)	(33.0, 264690.5)	(34.0, 297188.0)	(35.0, 329393.0)	(36.0, 364501.5)	(37.0, 402881.5)	(38.0, 441517.0)	(39.0, 484408.0)	(40.0, 531997.5)	(41.0, 581493.5)	(42.0, 633461.5)	(43.0, 690928.5)	(44.0, 755222.0)	(45.0, 825676.5)	(46.0, 899299.5)	(47.0, 974860.0)	(48.0, 1049494.0)	(49.0, 1115932.5)	(50.0, 1173829.0)	(51.0, 1220120.5)	(52.0, 1248336.0)	(53.0, 1256927.5)	(54.0, 1245530.5)	(55.0, 1217364.5)	(56.0, 1178401.0)	(57.0, 1131348.5)	(58.0, 1078101.5)	(59.0, 1018626.5)	(60.0, 953750.0)	(61.0, 881384.5)	(62.0, 803541.0)	(63.0, 725483.5)	(64.0, 647762.5)	(65.0, 570517.5)	(66.0, 493757.5)	(67.0, 418795.0)	(68.0, 346670.5)	(69.0, 280357.0)	(70.0, 221125.0)	(71.0, 169346.5)	(72.0, 125785.5)	(73.0, 91041.0)	(74.0, 64114.5)	(75.0, 43476.0)	(76.0, 28465.5)	(77.0, 18183.5)	(78.0, 11308.0)	(79.0, 6882.0)	(80.0, 4054.0)	(81.0, 2289.0)	(82.0, 1269.5)	(83.0, 714.0)	(84.0, 408.0)	(85.0, 233.0)	(86.0, 148.5)	(87.0, 61.0)	(88.0, 33.0)	(89.0, 25.0)	(90.0, 16.5)	(91.0, 12.0)	(92.0, 13.0)	(93.0, 13.0)	(94.0, 9.5)	(95.0, 8.5)	(96.0, 8.5)	(97.0, 10.5)	(98.0, 6.5)	(99.0, 4.5)	(100.0, 3.5)
