Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
omn_1_r1_trim	(20.0, 2.0)	(21.0, 246.0)	(22.0, 5861.0)	(23.0, 27235.0)	(24.0, 59242.0)	(25.0, 103046.0)	(26.0, 163481.0)	(27.0, 239189.0)	(28.0, 330792.0)	(29.0, 436229.0)	(30.0, 550682.0)	(31.0, 679624.0)	(32.0, 818774.0)	(33.0, 977895.0)	(34.0, 1163920.0)	(35.0, 1399796.0)	(36.0, 1735589.0)	(37.0, 2255469.0)	(38.0, 3217315.0)	(39.0, 5896613.0)	(40.0, 19080619.0)	
omn_1_r2_trim	(19.0, 6.0)	(20.0, 148.0)	(21.0, 6003.0)	(22.0, 87419.0)	(23.0, 259595.0)	(24.0, 354913.0)	(25.0, 414944.0)	(26.0, 480374.0)	(27.0, 549470.0)	(28.0, 624731.0)	(29.0, 708964.0)	(30.0, 805540.0)	(31.0, 919105.0)	(32.0, 1052986.0)	(33.0, 1222782.0)	(34.0, 1437551.0)	(35.0, 1730917.0)	(36.0, 2154051.0)	(37.0, 2820055.0)	(38.0, 4016482.0)	(39.0, 6911799.0)	(40.0, 12583784.0)
omn_2_r1_trim	(21.0, 198.0)	(22.0, 5519.0)	(23.0, 26240.0)	(24.0, 57140.0)	(25.0, 96953.0)	(26.0, 152799.0)	(27.0, 224070.0)	(28.0, 309262.0)	(29.0, 405525.0)	(30.0, 512941.0)	(31.0, 632290.0)	(32.0, 762335.0)	(33.0, 906090.0)	(34.0, 1079285.0)	(35.0, 1307352.0)	(36.0, 1630572.0)	(37.0, 2141021.0)	(38.0, 3078952.0)	(39.0, 5714748.0)	(40.0, 18784104.0)		
omn_2_r2_trim	(19.0, 2.0)	(20.0, 73.0)	(21.0, 3637.0)	(22.0, 57890.0)	(23.0, 188335.0)	(24.0, 266049.0)	(25.0, 317329.0)	(26.0, 370924.0)	(27.0, 430889.0)	(28.0, 498322.0)	(29.0, 573804.0)	(30.0, 663002.0)	(31.0, 765711.0)	(32.0, 891217.0)	(33.0, 1051586.0)	(34.0, 1254671.0)	(35.0, 1537104.0)	(36.0, 1947670.0)	(37.0, 2590261.0)	(38.0, 3775209.0)	(39.0, 6815089.0)	(40.0, 13828622.0)
omn_3_r1_trim	(20.0, 3.0)	(21.0, 230.0)	(22.0, 6574.0)	(23.0, 31952.0)	(24.0, 69661.0)	(25.0, 121858.0)	(26.0, 191706.0)	(27.0, 281015.0)	(28.0, 385675.0)	(29.0, 505035.0)	(30.0, 637205.0)	(31.0, 780125.0)	(32.0, 936712.0)	(33.0, 1114773.0)	(34.0, 1324640.0)	(35.0, 1594349.0)	(36.0, 1966914.0)	(37.0, 2551065.0)	(38.0, 3639337.0)	(39.0, 6668224.0)	(40.0, 22044502.0)	
omn_3_r2_trim	(19.0, 2.0)	(20.0, 138.0)	(21.0, 5504.0)	(22.0, 82928.0)	(23.0, 256141.0)	(24.0, 354796.0)	(25.0, 421096.0)	(26.0, 492274.0)	(27.0, 567462.0)	(28.0, 651237.0)	(29.0, 745530.0)	(30.0, 853107.0)	(31.0, 979751.0)	(32.0, 1130063.0)	(33.0, 1315224.0)	(34.0, 1557923.0)	(35.0, 1885085.0)	(36.0, 2362387.0)	(37.0, 3108908.0)	(38.0, 4486390.0)	(39.0, 7907185.0)	(40.0, 15688424.0)
omn_4_r1_trim	(20.0, 2.0)	(21.0, 191.0)	(22.0, 2885.0)	(23.0, 11801.0)	(24.0, 24009.0)	(25.0, 41206.0)	(26.0, 67578.0)	(27.0, 104611.0)	(28.0, 153977.0)	(29.0, 218096.0)	(30.0, 299176.0)	(31.0, 395442.0)	(32.0, 510507.0)	(33.0, 654518.0)	(34.0, 833878.0)	(35.0, 1068485.0)	(36.0, 1400413.0)	(37.0, 1909932.0)	(38.0, 2820427.0)	(39.0, 5279906.0)	(40.0, 20388997.0)	
omn_4_r2_trim	(19.0, 2.0)	(20.0, 29.0)	(21.0, 2023.0)	(22.0, 38808.0)	(23.0, 135987.0)	(24.0, 200624.0)	(25.0, 249989.0)	(26.0, 303886.0)	(27.0, 367272.0)	(28.0, 438351.0)	(29.0, 521423.0)	(30.0, 617523.0)	(31.0, 729180.0)	(32.0, 861486.0)	(33.0, 1026199.0)	(34.0, 1230659.0)	(35.0, 1497347.0)	(36.0, 1877640.0)	(37.0, 2456801.0)	(38.0, 3532972.0)	(39.0, 6306249.0)	(40.0, 13791587.0)
omn_5_r1_trim	(20.0, 1.0)	(21.0, 155.0)	(22.0, 2900.0)	(23.0, 11231.0)	(24.0, 22137.0)	(25.0, 36767.0)	(26.0, 59302.0)	(27.0, 90838.0)	(28.0, 135006.0)	(29.0, 190774.0)	(30.0, 260465.0)	(31.0, 346283.0)	(32.0, 448913.0)	(33.0, 576886.0)	(34.0, 736793.0)	(35.0, 945500.0)	(36.0, 1238677.0)	(37.0, 1692366.0)	(38.0, 2498676.0)	(39.0, 4671933.0)	(40.0, 16650963.0)	
omn_5_r2_trim	(19.0, 1.0)	(20.0, 34.0)	(21.0, 2171.0)	(22.0, 43800.0)	(23.0, 153932.0)	(24.0, 223273.0)	(25.0, 271784.0)	(26.0, 322933.0)	(27.0, 382345.0)	(28.0, 448882.0)	(29.0, 525277.0)	(30.0, 610283.0)	(31.0, 710362.0)	(32.0, 826540.0)	(33.0, 972032.0)	(34.0, 1152236.0)	(35.0, 1386458.0)	(36.0, 1712530.0)	(37.0, 2215177.0)	(38.0, 3126687.0)	(39.0, 5371072.0)	(40.0, 10158757.0)
veg_1_r1_trim	(20.0, 8.0)	(21.0, 1865.0)	(22.0, 31573.0)	(23.0, 106609.0)	(24.0, 180660.0)	(25.0, 259809.0)	(26.0, 348229.0)	(27.0, 452800.0)	(28.0, 573817.0)	(29.0, 707478.0)	(30.0, 861945.0)	(31.0, 1032079.0)	(32.0, 1208732.0)	(33.0, 1390705.0)	(34.0, 1577498.0)	(35.0, 1779183.0)	(36.0, 2035991.0)	(37.0, 2395846.0)	(38.0, 2967948.0)	(39.0, 4186143.0)	(40.0, 6887945.0)	
veg_1_r2_trim	(19.0, 6.0)	(20.0, 119.0)	(21.0, 8331.0)	(22.0, 99688.0)	(23.0, 268259.0)	(24.0, 370527.0)	(25.0, 443461.0)	(26.0, 520272.0)	(27.0, 608847.0)	(28.0, 705530.0)	(29.0, 818504.0)	(30.0, 945486.0)	(31.0, 1090050.0)	(32.0, 1251690.0)	(33.0, 1431110.0)	(34.0, 1630075.0)	(35.0, 1856537.0)	(36.0, 2134378.0)	(37.0, 2511665.0)	(38.0, 3100790.0)	(39.0, 4202331.0)	(40.0, 4989207.0)
veg_2_r1_trim	(20.0, 18.0)	(21.0, 2415.0)	(22.0, 39540.0)	(23.0, 134057.0)	(24.0, 234636.0)	(25.0, 342870.0)	(26.0, 471197.0)	(27.0, 620728.0)	(28.0, 791735.0)	(29.0, 988831.0)	(30.0, 1214251.0)	(31.0, 1457012.0)	(32.0, 1714946.0)	(33.0, 1967893.0)	(34.0, 2222172.0)	(35.0, 2505408.0)	(36.0, 2861885.0)	(37.0, 3367751.0)	(38.0, 4164285.0)	(39.0, 5853630.0)	(40.0, 9518903.0)	
veg_2_r2_trim	(19.0, 7.0)	(20.0, 211.0)	(21.0, 12831.0)	(22.0, 156098.0)	(23.0, 406772.0)	(24.0, 556603.0)	(25.0, 665782.0)	(26.0, 779169.0)	(27.0, 904478.0)	(28.0, 1046119.0)	(29.0, 1208857.0)	(30.0, 1390263.0)	(31.0, 1594923.0)	(32.0, 1821886.0)	(33.0, 2067911.0)	(34.0, 2329799.0)	(35.0, 2633606.0)	(36.0, 3003894.0)	(37.0, 3511103.0)	(38.0, 4287425.0)	(39.0, 5705341.0)	(40.0, 6391085.0)
veg_3_r1_trim	(20.0, 1.0)	(21.0, 136.0)	(22.0, 3104.0)	(23.0, 15246.0)	(24.0, 34244.0)	(25.0, 62663.0)	(26.0, 104330.0)	(27.0, 158172.0)	(28.0, 226795.0)	(29.0, 307820.0)	(30.0, 403264.0)	(31.0, 506843.0)	(32.0, 625975.0)	(33.0, 763874.0)	(34.0, 924400.0)	(35.0, 1134020.0)	(36.0, 1427560.0)	(37.0, 1882714.0)	(38.0, 2705463.0)	(39.0, 4952534.0)	(40.0, 17715484.0)	
