Sample	Unique Reads	Duplicate Reads
omn_1_r1_trim	32457042.0	6684577.0
omn_1_r2_trim	34169216.0	4972403.0
omn_2_r1_trim	23843860.0	13983536.0
omn_2_r2_trim	27493607.0	10333789.0
omn_3_r1_trim	39843634.0	5007921.0
omn_3_r2_trim	41210766.0	3640789.0
omn_4_r1_trim	28380721.0	7805316.0
omn_4_r2_trim	28814868.0	7371169.0
omn_5_r1_trim	22289760.0	8326806.0
omn_5_r2_trim	22766757.0	7849809.0
veg_1_r1_trim	23656738.0	5330125.0
veg_1_r2_trim	25087826.0	3899037.0
veg_2_r1_trim	28355918.0	12118245.0
veg_2_r2_trim	32625323.0	7848840.0
veg_3_r1_trim	30625013.0	3329629.0
veg_3_r2_trim	31569121.0	2385521.0
veg_4_r1_trim	25079505.0	13259448.0
veg_4_r2_trim	28188338.0	10150615.0
veg_5_r1_trim	30700370.0	9444904.0
veg_5_r2_trim	32997959.0	7147315.0
