Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
omn_1_r1_trim	(1.0, 71.48566535430399)	(2.0, 16.549667832406634)	(3.0, 5.9099167712974285)	(4.0, 2.5821811431022303)	(5.0, 1.405305728396842)	(6.0, 0.7785181597677937)	(7.0, 0.3867527772527303)	(8.0, 0.2420402727208179)	(9.0, 0.13127851781613592)	('>10', 0.5235527651768797)	('>50', 0.0)	('>100', 0.0012020813976200717)	('>500', 0.003918596360953301)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
omn_1_r2_trim	(1.0, 78.71778907467856)	(2.0, 12.52104416350909)	(3.0, 4.337803116127524)	(4.0, 1.915386267464711)	(5.0, 0.9915977565395449)	(6.0, 0.5593206681226796)	(7.0, 0.2931207140544892)	(8.0, 0.17549710853987863)	(9.0, 0.10503184737602467)	('>10', 0.37713966669325183)	('>50', 0.001066289384791415)	('>100', 0.001205620858725122)	('>500', 0.003997706650762058)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
omn_2_r1_trim	(1.0, 45.19249237833115)	(2.0, 19.638954583500702)	(3.0, 12.462243582872002)	(4.0, 7.619905949194596)	(5.0, 4.412617020013652)	(6.0, 2.618535359651417)	(7.0, 1.5556164938660824)	(8.0, 1.0177260873258855)	(9.0, 0.6334320521760796)	('>10', 3.6016970656388416)	('>50', 0.9375923149885059)	('>100', 0.3041856313855401)	('>500', 0.005001481055495732)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
omn_2_r2_trim	(1.0, 59.13108025298569)	(2.0, 15.382439497444448)	(3.0, 9.404352070508045)	(4.0, 5.41438213966622)	(5.0, 3.1349322003858084)	(6.0, 1.7809087613800023)	(7.0, 1.0595371356598506)	(8.0, 0.638193064778531)	(9.0, 0.4495568974221662)	('>10', 2.6642085153428803)	('>50', 0.7461069151101993)	('>100', 0.18949945257950992)	('>500', 0.004803096736738355)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
omn_3_r1_trim	(1.0, 80.17988690470983)	(2.0, 13.91584982631958)	(3.0, 3.6550657480790285)	(4.0, 1.2518617772418927)	(5.0, 0.46597327722569376)	(6.0, 0.23526641320678046)	(7.0, 0.0946177850713466)	(8.0, 0.07759545876503464)	(9.0, 0.03430243576494628)	('>10', 0.06683165153434276)	('>50', 0.0076309632319380505)	('>100', 0.015117758849576206)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
omn_3_r2_trim	(1.0, 85.56045108727791)	(2.0, 10.186822148635793)	(3.0, 2.6783716509464672)	(4.0, 0.8837780354247791)	(5.0, 0.3595386205035085)	(6.0, 0.13372395074843885)	(7.0, 0.06844808759017837)	(8.0, 0.03627852035965539)	(9.0, 0.021186578668894587)	('>10', 0.05073824159692876)	('>50', 0.006614267852122555)	('>100', 0.014048810395385436)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
omn_4_r1_trim	(1.0, 64.55627332390847)	(2.0, 19.753848607635334)	(3.0, 7.759994461200237)	(4.0, 3.291675656358746)	(5.0, 1.403257058173636)	(6.0, 0.7052139249931396)	(7.0, 0.3959652787369062)	(8.0, 0.21392511363295774)	(9.0, 0.15260328232625303)	('>10', 1.5622208140220832)	('>50', 0.19041655890505402)	('>100', 0.011254798828673682)	('>500', 0.0)	('>1k', 0.0033511212785361697)	('>5k', 0.0)	('>10k+', 0.0)
omn_4_r2_trim	(1.0, 66.18508633080297)	(2.0, 19.57227601483693)	(3.0, 7.282176128919084)	(4.0, 2.828633729496136)	(5.0, 1.267789643063521)	(6.0, 0.6449198961011545)	(7.0, 0.30430861949254034)	(8.0, 0.2119267775937997)	(9.0, 0.14250973923887258)	('>10', 1.3542985724653398)	('>50', 0.18993258850378097)	('>100', 0.014084010237321802)	('>500', 0.0020579492485982382)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
omn_5_r1_trim	(1.0, 57.56376591482524)	(2.0, 19.30306718409918)	(3.0, 9.1249452096261)	(4.0, 4.850734919794029)	(5.0, 2.942904431951802)	(6.0, 1.7862911165938498)	(7.0, 1.0995580708350203)	(8.0, 0.7205659995774181)	(9.0, 0.49306624702731344)	('>10', 2.095100754803916)	('>50', 0.016502211171442377)	('>100', 0.003497939694656779)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
omn_5_r2_trim	(1.0, 59.56925408291996)	(2.0, 19.1871111989358)	(3.0, 8.694060032806664)	(4.0, 4.532558738432502)	(5.0, 2.5835473944851497)	(6.0, 1.5408636790064771)	(7.0, 0.9372975837833988)	(8.0, 0.6569974057749279)	(9.0, 0.44453181764496535)	('>10', 1.8406691933202906)	('>50', 0.008799449152875134)	('>100', 0.004309423736984534)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
