Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
omn_1_r1_trim	(30, 1233.0)	(35, 1659.0)	(40, 1943.0)	(45, 2320.0)	(50, 2656.0)	(55, 3039.0)	(60, 3610.0)	(65, 4518.0)	(70, 5497.0)	(75, 6849.0)	(80, 8235.0)	(85, 9590.0)	(90, 11685.0)	(95, 14384.0)	(100, 17540.0)	(105, 21538.0)	(110, 25981.0)	(115, 31311.0)	(120, 37778.0)	(125, 45267.0)	(130, 53986.0)	(135, 64083.0)	(140, 75450.0)	(145, 88314.0)	(150, 38603153.0)
omn_1_r2_trim	(30, 1233.0)	(35, 1659.0)	(40, 1943.0)	(45, 2320.0)	(50, 2656.0)	(55, 3039.0)	(60, 3610.0)	(65, 4518.0)	(70, 5497.0)	(75, 6849.0)	(80, 8235.0)	(85, 9590.0)	(90, 11685.0)	(95, 14384.0)	(100, 17540.0)	(105, 21538.0)	(110, 25981.0)	(115, 31311.0)	(120, 37778.0)	(125, 45267.0)	(130, 53986.0)	(135, 64083.0)	(140, 75450.0)	(145, 88314.0)	(150, 38603153.0)
omn_2_r1_trim	(30, 1065.0)	(35, 1717.0)	(40, 2199.0)	(45, 2762.0)	(50, 3204.0)	(55, 3932.0)	(60, 4776.0)	(65, 6112.0)	(70, 7562.0)	(75, 9152.0)	(80, 11740.0)	(85, 13514.0)	(90, 16916.0)	(95, 20744.0)	(100, 25977.0)	(105, 31535.0)	(110, 38912.0)	(115, 47071.0)	(120, 57318.0)	(125, 67991.0)	(130, 81645.0)	(135, 96729.0)	(140, 113792.0)	(145, 133451.0)	(150, 37027580.0)
omn_2_r2_trim	(30, 1065.0)	(35, 1717.0)	(40, 2199.0)	(45, 2762.0)	(50, 3204.0)	(55, 3932.0)	(60, 4776.0)	(65, 6112.0)	(70, 7562.0)	(75, 9152.0)	(80, 11740.0)	(85, 13514.0)	(90, 16916.0)	(95, 20744.0)	(100, 25977.0)	(105, 31535.0)	(110, 38912.0)	(115, 47071.0)	(120, 57318.0)	(125, 67991.0)	(130, 81645.0)	(135, 96729.0)	(140, 113792.0)	(145, 133451.0)	(150, 37027580.0)
omn_3_r1_trim	(30, 1234.0)	(35, 1534.0)	(40, 1732.0)	(45, 2139.0)	(50, 2297.0)	(55, 2824.0)	(60, 3435.0)	(65, 4295.0)	(70, 5267.0)	(75, 6306.0)	(80, 7809.0)	(85, 9438.0)	(90, 11518.0)	(95, 14337.0)	(100, 17878.0)	(105, 21869.0)	(110, 27301.0)	(115, 33656.0)	(120, 41518.0)	(125, 50527.0)	(130, 61101.0)	(135, 74174.0)	(140, 88665.0)	(145, 106116.0)	(150, 44254585.0)
omn_3_r2_trim	(30, 1234.0)	(35, 1534.0)	(40, 1732.0)	(45, 2139.0)	(50, 2297.0)	(55, 2824.0)	(60, 3435.0)	(65, 4295.0)	(70, 5267.0)	(75, 6306.0)	(80, 7809.0)	(85, 9438.0)	(90, 11518.0)	(95, 14337.0)	(100, 17878.0)	(105, 21869.0)	(110, 27301.0)	(115, 33656.0)	(120, 41518.0)	(125, 50527.0)	(130, 61101.0)	(135, 74174.0)	(140, 88665.0)	(145, 106116.0)	(150, 44254585.0)
omn_4_r1_trim	(30, 3453.0)	(35, 5413.0)	(40, 6670.0)	(45, 7543.0)	(50, 8674.0)	(55, 10129.0)	(60, 11459.0)	(65, 13342.0)	(70, 15506.0)	(75, 18349.0)	(80, 21169.0)	(85, 21374.0)	(90, 24579.0)	(95, 29159.0)	(100, 34219.0)	(105, 39807.0)	(110, 46584.0)	(115, 54510.0)	(120, 63874.0)	(125, 74372.0)	(130, 86218.0)	(135, 100135.0)	(140, 114820.0)	(145, 132550.0)	(150, 35242129.0)
omn_4_r2_trim	(30, 3453.0)	(35, 5413.0)	(40, 6670.0)	(45, 7543.0)	(50, 8674.0)	(55, 10129.0)	(60, 11459.0)	(65, 13342.0)	(70, 15506.0)	(75, 18349.0)	(80, 21169.0)	(85, 21374.0)	(90, 24579.0)	(95, 29159.0)	(100, 34219.0)	(105, 39807.0)	(110, 46584.0)	(115, 54510.0)	(120, 63874.0)	(125, 74372.0)	(130, 86218.0)	(135, 100135.0)	(140, 114820.0)	(145, 132384.0)	(150, 35242295.0)
omn_5_r1_trim	(30, 3304.0)	(35, 4807.0)	(40, 5982.0)	(45, 6644.0)	(50, 7186.0)	(55, 8134.0)	(60, 9024.0)	(65, 10374.0)	(70, 11161.0)	(75, 12541.0)	(80, 14306.0)	(85, 13775.0)	(90, 14883.0)	(95, 16684.0)	(100, 18478.0)	(105, 20280.0)	(110, 23225.0)	(115, 25692.0)	(120, 29183.0)	(125, 32845.0)	(130, 37336.0)	(135, 41949.0)	(140, 46822.0)	(145, 53279.0)	(150, 30148672.0)
omn_5_r2_trim	(30, 3304.0)	(35, 4807.0)	(40, 5982.0)	(45, 6644.0)	(50, 7186.0)	(55, 8134.0)	(60, 9024.0)	(65, 10374.0)	(70, 11161.0)	(75, 12541.0)	(80, 14306.0)	(85, 13775.0)	(90, 14883.0)	(95, 16684.0)	(100, 18478.0)	(105, 20280.0)	(110, 23225.0)	(115, 25692.0)	(120, 29183.0)	(125, 32845.0)	(130, 37336.0)	(135, 41949.0)	(140, 46822.0)	(145, 53166.0)	(150, 30148785.0)
veg_1_r1_trim	(30, 3078.0)	(35, 5413.0)	(40, 7047.0)	(45, 8415.0)	(50, 9393.0)	(55, 10715.0)	(60, 11992.0)	(65, 13733.0)	(70, 15692.0)	(75, 17673.0)	(80, 20481.0)	(85, 22961.0)	(90, 26548.0)	(95, 30709.0)	(100, 35205.0)	(105, 40541.0)	(110, 47078.0)	(115, 54216.0)	(120, 63175.0)	(125, 73180.0)	(130, 83446.0)	(135, 96082.0)	(140, 109932.0)	(145, 125916.0)	(150, 28054242.0)
veg_1_r2_trim	(30, 3078.0)	(35, 5413.0)	(40, 7047.0)	(45, 8415.0)	(50, 9393.0)	(55, 10715.0)	(60, 11992.0)	(65, 13733.0)	(70, 15692.0)	(75, 17673.0)	(80, 20481.0)	(85, 22961.0)	(90, 26548.0)	(95, 30709.0)	(100, 35205.0)	(105, 40541.0)	(110, 47078.0)	(115, 54216.0)	(120, 63175.0)	(125, 73180.0)	(130, 83446.0)	(135, 96082.0)	(140, 109932.0)	(145, 125916.0)	(150, 28054242.0)
veg_2_r1_trim	(30, 885.0)	(35, 1445.0)	(40, 1633.0)	(45, 2047.0)	(50, 2488.0)	(55, 3018.0)	(60, 3745.0)	(65, 4765.0)	(70, 6045.0)	(75, 7537.0)	(80, 9358.0)	(85, 11412.0)	(90, 13986.0)	(95, 17661.0)	(100, 21926.0)	(105, 26750.0)	(110, 33216.0)	(115, 40717.0)	(120, 49716.0)	(125, 59931.0)	(130, 71293.0)	(135, 85513.0)	(140, 101002.0)	(145, 119911.0)	(150, 39778163.0)
veg_2_r2_trim	(30, 885.0)	(35, 1445.0)	(40, 1633.0)	(45, 2047.0)	(50, 2488.0)	(55, 3018.0)	(60, 3745.0)	(65, 4765.0)	(70, 6045.0)	(75, 7537.0)	(80, 9358.0)	(85, 11412.0)	(90, 13986.0)	(95, 17661.0)	(100, 21926.0)	(105, 26750.0)	(110, 33216.0)	(115, 40717.0)	(120, 49716.0)	(125, 59931.0)	(130, 71293.0)	(135, 85513.0)	(140, 101002.0)	(145, 119911.0)	(150, 39778163.0)
veg_3_r1_trim	(30, 1164.0)	(35, 1567.0)	(40, 1646.0)	(45, 1815.0)	(50, 1943.0)	(55, 2248.0)	(60, 2699.0)	(65, 2865.0)	(70, 3500.0)	(75, 3976.0)	(80, 4674.0)	(85, 5219.0)	(90, 6046.0)	(95, 7287.0)	(100, 8620.0)	(105, 10618.0)	(110, 12851.0)	(115, 15593.0)	(120, 19174.0)	(125, 23354.0)	(130, 28747.0)	(135, 34995.0)	(140, 42795.0)	(145, 51724.0)	(150, 33659522.0)
veg_3_r2_trim	(30, 1164.0)	(35, 1567.0)	(40, 1646.0)	(45, 1815.0)	(50, 1943.0)	(55, 2248.0)	(60, 2699.0)	(65, 2865.0)	(70, 3500.0)	(75, 3976.0)	(80, 4674.0)	(85, 5219.0)	(90, 6046.0)	(95, 7287.0)	(100, 8620.0)	(105, 10618.0)	(110, 12851.0)	(115, 15593.0)	(120, 19174.0)	(125, 23354.0)	(130, 28747.0)	(135, 34995.0)	(140, 42795.0)	(145, 51724.0)	(150, 33659522.0)
veg_4_r1_trim	(30, 1406.0)	(35, 1929.0)	(40, 2269.0)	(45, 2653.0)	(50, 3160.0)	(55, 3581.0)	(60, 4211.0)	(65, 5133.0)	(70, 6244.0)	(75, 7554.0)	(80, 9241.0)	(85, 10862.0)	(90, 13035.0)	(95, 16011.0)	(100, 19535.0)	(105, 23643.0)	(110, 28775.0)	(115, 34776.0)	(120, 41985.0)	(125, 50188.0)	(130, 59586.0)	(135, 70674.0)	(140, 83714.0)	(145, 97740.0)	(150, 37741048.0)
veg_4_r2_trim	(30, 1406.0)	(35, 1929.0)	(40, 2269.0)	(45, 2653.0)	(50, 3160.0)	(55, 3581.0)	(60, 4211.0)	(65, 5133.0)	(70, 6244.0)	(75, 7554.0)	(80, 9241.0)	(85, 10862.0)	(90, 13035.0)	(95, 16011.0)	(100, 19535.0)	(105, 23643.0)	(110, 28775.0)	(115, 34776.0)	(120, 41985.0)	(125, 50188.0)	(130, 59586.0)	(135, 70674.0)	(140, 83714.0)	(145, 97740.0)	(150, 37741048.0)
