Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
omn_1_r1_trim	17.07792858520928	53.0	150.13260459410225	150	0.0	39.141619
omn_1_r2_trim	12.703622371603359	53.0	150.13260459410225	150	0.0	39.141619
omn_2_r1_trim	36.96669068974223	48.0	149.95334867882525	150	0.0	37.827396
omn_2_r2_trim	27.318267156500184	48.0	149.95334867882525	150	0.0	37.827396
omn_3_r1_trim	11.165546211410643	51.0	150.16647845319966	150	0.0	44.851555
omn_3_r2_trim	8.117420613004128	51.0	150.16647845319966	150	0.0	44.851555
omn_4_r1_trim	21.56996823371027	52.0	149.6766339873029	150	10.0	36.186037
omn_4_r2_trim	20.370204940198605	52.0	149.67665004321972	150	10.0	36.186037
omn_5_r1_trim	27.197062954712706	51.0	149.91857885041713	150	0.0	30.616566
omn_5_r2_trim	25.639091390708714	51.0	149.91859176826037	150	0.0	30.616566
veg_1_r1_trim	18.388072600562737	50.0	149.4590664398559	150	0.0	28.986863
veg_1_r2_trim	13.451048910538447	50.0	149.4590664398559	150	0.0	28.986863
veg_2_r1_trim	29.940694251627363	51.0	150.0671701722405	150	0.0	40.474163
veg_2_r2_trim	19.392223759596533	51.0	150.0671701722405	150	0.0	40.474163
veg_3_r1_trim	9.806109591841889	55.0	150.26246532064746	150	0.0	33.954642
veg_3_r2_trim	7.025613235411697	55.0	150.26246532064746	150	0.0	33.954642
veg_4_r1_trim	34.58479592929197	47.0	150.08069323124187	150	10.0	38.338953
veg_4_r2_trim	26.475984804476695	47.0	150.08069323124187	150	10.0	38.338953
veg_5_r1_trim	23.526815362965678	51.0	149.94166880016812	150	0.0	40.145274
veg_5_r2_trim	17.80362806822933	51.0	149.94166880016812	150	0.0	40.145274
