Module	Section	Sample Name	Source
FastQC	all_sections	omn_1_r1_trim	/home/ken/binf6110/assign_03/fastqc_trim_results/omn_1_r1_trim_fastqc.zip
FastQC	all_sections	omn_1_r2_trim	/home/ken/binf6110/assign_03/fastqc_trim_results/omn_1_r2_trim_fastqc.zip
FastQC	all_sections	omn_2_r1_trim	/home/ken/binf6110/assign_03/fastqc_trim_results/omn_2_r1_trim_fastqc.zip
FastQC	all_sections	omn_2_r2_trim	/home/ken/binf6110/assign_03/fastqc_trim_results/omn_2_r2_trim_fastqc.zip
FastQC	all_sections	omn_3_r1_trim	/home/ken/binf6110/assign_03/fastqc_trim_results/omn_3_r1_trim_fastqc.zip
FastQC	all_sections	omn_3_r2_trim	/home/ken/binf6110/assign_03/fastqc_trim_results/omn_3_r2_trim_fastqc.zip
FastQC	all_sections	omn_4_r1_trim	/home/ken/binf6110/assign_03/fastqc_trim_results/omn_4_r1_trim_fastqc.zip
FastQC	all_sections	omn_4_r2_trim	/home/ken/binf6110/assign_03/fastqc_trim_results/omn_4_r2_trim_fastqc.zip
FastQC	all_sections	omn_5_r1_trim	/home/ken/binf6110/assign_03/fastqc_trim_results/omn_5_r1_trim_fastqc.zip
FastQC	all_sections	omn_5_r2_trim	/home/ken/binf6110/assign_03/fastqc_trim_results/omn_5_r2_trim_fastqc.zip
FastQC	all_sections	veg_1_r1_trim	/home/ken/binf6110/assign_03/fastqc_trim_results/veg_1_r1_trim_fastqc.zip
FastQC	all_sections	veg_1_r2_trim	/home/ken/binf6110/assign_03/fastqc_trim_results/veg_1_r2_trim_fastqc.zip
FastQC	all_sections	veg_2_r1_trim	/home/ken/binf6110/assign_03/fastqc_trim_results/veg_2_r1_trim_fastqc.zip
FastQC	all_sections	veg_2_r2_trim	/home/ken/binf6110/assign_03/fastqc_trim_results/veg_2_r2_trim_fastqc.zip
FastQC	all_sections	veg_3_r1_trim	/home/ken/binf6110/assign_03/fastqc_trim_results/veg_3_r1_trim_fastqc.zip
FastQC	all_sections	veg_3_r2_trim	/home/ken/binf6110/assign_03/fastqc_trim_results/veg_3_r2_trim_fastqc.zip
FastQC	all_sections	veg_4_r1_trim	/home/ken/binf6110/assign_03/fastqc_trim_results/veg_4_r1_trim_fastqc.zip
FastQC	all_sections	veg_4_r2_trim	/home/ken/binf6110/assign_03/fastqc_trim_results/veg_4_r2_trim_fastqc.zip
FastQC	all_sections	veg_5_r1_trim	/home/ken/binf6110/assign_03/fastqc_trim_results/veg_5_r1_trim_fastqc.zip
FastQC	all_sections	veg_5_r2_trim	/home/ken/binf6110/assign_03/fastqc_trim_results/veg_5_r2_trim_fastqc.zip
